region,count,per100k,date
Grums,64,716,2014-02-01
Grästorp,21,373,2014-02-01
Gullspång,41,787,2014-02-01
Gällivare,97,530,2014-02-01
Gävle,893,913,2014-02-01
Göteborg,7042,1311,2014-02-01
Götene,50,383,2014-02-01
Habo,41,371,2014-02-01
Hagfors,68,567,2014-02-01
Hallsberg,151,988,2014-02-01
Hallstahammar,200,1285,2014-02-01
Halmstad,868,916,2014-02-01
Hammarö,37,243,2014-02-01
Haninge,770,943,2014-02-01
Haparanda,68,692,2014-02-01
Heby,84,624,2014-02-01
Heby,0,0,2014-02-01
Hedemora,142,943,2014-02-01
Helsingborg,1740,1297,2014-02-01
Herrljunga,60,643,2014-02-01
Hjo,24,271,2014-02-01
Hofors,44,465,2014-02-01
Huddinge,1216,1176,2014-02-01
Hudiksvall,219,594,2014-02-01
Hultsfred,71,519,2014-02-01
Hylte,67,661,2014-02-01
Håbo,158,790,2014-02-01
Hällefors,36,517,2014-02-01
Härjedalen,62,605,2014-02-01
Härnösand,209,848,2014-02-01
Härryda,215,597,2014-02-01
Hässleholm,426,845,2014-02-01
Höganäs,120,476,2014-02-01
Högsby,31,539,2014-02-01
Hörby,102,684,2014-02-01
Höör,131,834,2014-02-01
Jokkmokk,37,729,2014-02-01
Järfälla,628,898,2014-02-01
Jönköping,897,682,2014-02-01
Kalix,74,453,2014-02-01
Kalmar,419,652,2014-02-01
Karlsborg,27,399,2014-02-01
Karlshamn,193,614,2014-02-01
Karlskoga,240,803,2014-02-01
Karlskrona,386,602,2014-02-01
Karlstad,729,828,2014-02-01
Katrineholm,326,985,2014-02-01
Kil,47,397,2014-02-01
Kinda,41,418,2014-02-01
Kiruna,143,616,2014-02-01
Klippan,168,1005,2014-02-01
Knivsta,59,372,2014-02-01
Kramfors,149,808,2014-02-01
Kristianstad,681,836,2014-02-01
Kristinehamn,175,728,2014-02-01
Krokom,25,171,2014-02-01
Kumla,192,916,2014-02-01
Kungsbacka,383,492,2014-02-01
Kungsör,59,718,2014-02-01
Kungälv,289,684,2014-02-01
Kävlinge,188,633,2014-02-01
Köping,255,1008,2014-02-01
Laholm,155,655,2014-02-01
Landskrona,477,1101,2014-02-01
Laxå,36,640,2014-02-01
Lekeberg,33,450,2014-02-01
Leksand,53,349,2014-02-01
Lerum,156,394,2014-02-01
Lessebo,44,539,2014-02-01
Lidingö,269,594,2014-02-01
Lidköping,269,697,2014-02-01
Lilla Edet,74,572,2014-02-01
Lindesberg,355,1529,2014-02-01
Linköping,1158,767,2014-02-01
Ljungby,153,558,2014-02-01
Ljusdal,158,834,2014-02-01
Ljusnarsberg,46,940,2014-02-01
Lomma,100,440,2014-02-01
Ludvika,197,761,2014-02-01
Luleå,507,670,2014-02-01
Lund,1154,1002,2014-02-01
Lycksele,97,793,2014-02-01
Lysekil,79,551,2014-02-01
Malmö,4816,1526,2014-02-01
Malung-Sälen,127,1268,2014-02-01
Malå,12,383,2014-02-01
Mariestad,245,1025,2014-02-01
Mark,302,893,2014-02-01
Markaryd,46,483,2014-02-01
Mellerud,80,897,2014-02-01
Mjölby,131,497,2014-02-01
Mora,116,580,2014-02-01
Motala,258,609,2014-02-01
Mullsjö,37,523,2014-02-01
Munkedal,64,626,2014-02-01
Munkfors,31,848,2014-02-01
Mölndal,490,785,2014-02-01
Mönsterås,51,392,2014-02-01
Mörbylånga,47,326,2014-02-01
Nacka,941,987,2014-02-01
Nora,43,414,2014-02-01
Norberg,43,759,2014-02-01
Nordanstig,37,390,2014-02-01
Nordmaling,31,440,2014-02-01
Norrköping,1525,1134,2014-02-01
Norrtälje,507,886,2014-02-01
Norsjö,7,168,2014-02-01
Nybro,179,913,2014-02-01
Nykvarn,34,352,2014-02-01
Nyköping,506,950,2014-02-01
Nynäshamn,271,1007,2014-02-01
Nässjö,241,811,2014-02-01
Ockelbo,26,450,2014-02-01
Olofström,88,679,2014-02-01
Orsa,68,996,2014-02-01
Orust,62,412,2014-02-01
Osby,106,830,2014-02-01
Oskarshamn,111,423,2014-02-01
Ovanåker,21,184,2014-02-01
Oxelösund,81,706,2014-02-01
Pajala,20,317,2014-02-01
Partille,318,875,2014-02-01
Perstorp,70,978,2014-02-01
Piteå,183,442,2014-02-01
Ragunda,14,257,2014-02-01
Robertsfors,26,386,2014-02-01
Ronneby,159,567,2014-02-01
Rättvik,67,623,2014-02-01
Sala,151,691,2014-02-01
Salem,124,772,2014-02-01
Sandviken,275,733,2014-02-01
Sigtuna,488,1116,2014-02-01
Simrishamn,140,740,2014-02-01
Sjöbo,122,663,2014-02-01
Skara,144,772,2014-02-01
Skellefteå,341,474,2014-02-01
Skinnskatteberg,28,633,2014-02-01
Skurup,121,802,2014-02-01
Skövde,307,579,2014-02-01
Smedjebacken,44,411,2014-02-01
Sollefteå,120,609,2014-02-01
Sollentuna,627,912,2014-02-01
Solna,914,1245,2014-02-01
Sorsele,9,349,2014-02-01
Sotenäs,42,470,2014-02-01
Staffanstorp,143,626,2014-02-01
Stenungsund,158,629,2014-02-01
Stockholm,14982,1656,2014-02-01
Storfors,32,777,2014-02-01
Storuman,45,756,2014-02-01
Strängnäs,227,675,2014-02-01
Strömstad,119,945,2014-02-01
Strömsund,75,629,2014-02-01
Sundbyberg,538,1241,2014-02-01
Sundsvall,905,931,2014-02-01
Sunne,63,483,2014-02-01
Surahammar,60,608,2014-02-01
Svalöv,119,888,2014-02-01
Svedala,121,600,2014-02-01
Svenljunga,57,552,2014-02-01
Säffle,115,751,2014-02-01
Säter,50,460,2014-02-01
Sävsjö,57,517,2014-02-01
Söderhamn,187,735,2014-02-01
Söderköping,55,386,2014-02-01
Södertälje,1109,1210,2014-02-01
Sölvesborg,76,450,2014-02-01
Tanum,64,519,2014-02-01
Tibro,126,1166,2014-02-01
Tidaholm,43,342,2014-02-01
Tierp,136,673,2014-02-01
Timrå,123,682,2014-02-01
Tingsryd,51,419,2014-02-01
Tjörn,54,358,2014-02-01
Tomelilla,124,958,2014-02-01
Torsby,61,508,2014-02-01
Torsås,18,261,2014-02-01
Tranemo,48,414,2014-02-01
Tranås,120,656,2014-02-01
Trelleborg,439,1023,2014-02-01
Trollhättan,526,927,2014-02-01
Trosa,84,714,2014-02-01
Tyresö,265,591,2014-02-01
Täby,424,635,2014-02-01
Töreboda,45,498,2014-02-01
Uddevalla,505,948,2014-02-01
Ulricehamn,129,555,2014-02-01
Umeå,631,530,2014-02-01
Upplands Väsby,721,1732,2014-02-01
Upplands-Bro,231,924,2014-02-01
Uppsala,1615,783,2014-02-01
Uppvidinge,48,519,2014-02-01
Vadstena,28,379,2014-02-01
Vaggeryd,60,454,2014-02-01
Valdemarsvik,29,381,2014-02-01
Vallentuna,265,834,2014-02-01
Vansbro,34,507,2014-02-01
Vara,91,583,2014-02-01
Varberg,367,610,2014-02-01
Vaxholm,47,417,2014-02-01
Vellinge,177,521,2014-02-01
Vetlanda,245,923,2014-02-01
Vilhelmina,40,582,2014-02-01
Vimmerby,60,392,2014-02-01
Vindeln,20,373,2014-02-01
Vingåker,77,867,2014-02-01
Vårgårda,66,596,2014-02-01
Vänersborg,255,678,2014-02-01
Vännäs,32,372,2014-02-01
Värmdö,304,757,2014-02-01
Värnamo,244,734,2014-02-01
Västervik,191,532,2014-02-01
Västerås,1332,932,2014-02-01
Växjö,567,656,2014-02-01
Ydre,7,192,2014-02-01
Ystad,256,892,2014-02-01
Åmål,54,440,2014-02-01
Ånge,46,483,2014-02-01
Åre,103,982,2014-02-01
Årjäng,47,476,2014-02-01
Åsele,10,350,2014-02-01
Åstorp,242,1614,2014-02-01
Åtvidaberg,29,253,2014-02-01
Älmhult,74,467,2014-02-01
Älvdalen,27,382,2014-02-01
Älvkarleby,70,765,2014-02-01
Älvsbyn,33,404,2014-02-01
Ängelholm,301,752,2014-02-01
Öckerö,50,397,2014-02-01
Ödeshög,17,326,2014-02-01
Örebro,1314,928,2014-02-01
Örkelljunga,84,867,2014-02-01
Örnsköldsvik,242,439,2014-02-01
Östersund,439,729,2014-02-01
Österåker,238,583,2014-02-01
Östhammar,76,356,2014-02-01
Östra Göinge,65,472,2014-02-01
Överkalix,4,117,2014-02-01
Övertorneå,12,255,2014-02-01
Ale,162,566,2015-02-01
Alingsås,328,833,2015-02-01
Alvesta,118,604,2015-02-01
Aneby,30,463,2015-02-01
Arboga,95,691,2015-02-01
Arjeplog,11,380,2015-02-01
Arvidsjaur,48,741,2015-02-01
Arvika,142,550,2015-02-01
Askersund,44,395,2015-02-01
Avesta,112,500,2015-02-01
Bengtsfors,59,615,2015-02-01
Berg,35,496,2015-02-01
Bjurholm,10,408,2015-02-01
Bjuv,141,945,2015-02-01
Boden,228,817,2015-02-01
Bollebygd,35,401,2015-02-01
Bollnäs,194,732,2015-02-01
Borgholm,52,487,2015-02-01
Borlänge,419,824,2015-02-01
Borås,1037,962,2015-02-01
Botkyrka,966,1083,2015-02-01
Boxholm,17,319,2015-02-01
Bromölla,67,538,2015-02-01
Bräcke,20,310,2015-02-01
Burlöv,157,906,2015-02-01
Båstad,127,882,2015-02-01
Dals-Ed,15,314,2015-02-01
Danderyd,273,844,2015-02-01
Degerfors,67,703,2015-02-01
Dorotea,23,837,2015-02-01
Eda,67,790,2015-02-01
Ekerö,122,455,2015-02-01
Eksjö,136,815,2015-02-01
Emmaboda,81,895,2015-02-01
Enköping,405,975,2015-02-01
Eskilstuna,992,977,2015-02-01
Eslöv,293,907,2015-02-01
Essunga,45,809,2015-02-01
Fagersta,135,1022,2015-02-01
Falkenberg,340,796,2015-02-01
Falköping,219,677,2015-02-01
Falun,398,699,2015-02-01
Filipstad,70,659,2015-02-01
Finspång,141,666,2015-02-01
Flen,154,942,2015-02-01
Forshaga,37,325,2015-02-01
Färgelanda,36,554,2015-02-01
Gagnef,45,448,2015-02-01
Gislaved,158,545,2015-02-01
Gnesta,64,605,2015-02-01
Gnosjö,66,694,2015-02-01
Gotland,395,689,2015-02-01
Grums,68,760,2015-02-01
Grästorp,20,355,2015-02-01
Gullspång,31,592,2015-02-01
Gällivare,90,495,2015-02-01
Gävle,991,1005,2015-02-01
Göteborg,9811,1801,2015-02-01
Götene,62,473,2015-02-01
Habo,43,384,2015-02-01
Hagfors,92,775,2015-02-01
Hallsberg,128,831,2015-02-01
Hallstahammar,73,467,2015-02-01
Halmstad,930,966,2015-02-01
Hammarö,60,391,2015-02-01
Haninge,836,1006,2015-02-01
Haparanda,80,816,2015-02-01
Heby,80,591,2015-02-01
Heby,0,0,2015-02-01
Hedemora,89,587,2015-02-01
Helsingborg,1734,1269,2015-02-01
Herrljunga,72,769,2015-02-01
Hjo,48,537,2015-02-01
Hofors,47,498,2015-02-01
Huddinge,1153,1101,2015-02-01
Hudiksvall,330,893,2015-02-01
Hultsfred,109,788,2015-02-01
Hylte,108,1039,2015-02-01
Håbo,152,754,2015-02-01
Hällefors,31,444,2015-02-01
Härjedalen,62,605,2015-02-01
Härnösand,201,807,2015-02-01
Härryda,254,696,2015-02-01
Hässleholm,526,1035,2015-02-01
Höganäs,167,656,2015-02-01
Högsby,51,876,2015-02-01
Hörby,110,735,2015-02-01
Höör,138,870,2015-02-01
Jokkmokk,35,689,2015-02-01
Järfälla,662,925,2015-02-01
Jönköping,924,696,2015-02-01
Kalix,100,614,2015-02-01
Kalmar,479,735,2015-02-01
Karlsborg,24,354,2015-02-01
Karlshamn,178,561,2015-02-01
Karlskoga,244,809,2015-02-01
Karlskrona,483,745,2015-02-01
Karlstad,704,793,2015-02-01
Katrineholm,270,809,2015-02-01
Kil,56,473,2015-02-01
Kinda,17,174,2015-02-01
Kiruna,121,521,2015-02-01
Klippan,154,915,2015-02-01
Knivsta,73,443,2015-02-01
Kramfors,138,750,2015-02-01
Kristianstad,693,843,2015-02-01
Kristinehamn,170,703,2015-02-01
Krokom,76,516,2015-02-01
Kumla,183,868,2015-02-01
Kungsbacka,476,605,2015-02-01
Kungsör,43,518,2015-02-01
Kungälv,299,703,2015-02-01
Kävlinge,211,704,2015-02-01
Köping,204,801,2015-02-01
Laholm,161,671,2015-02-01
Landskrona,477,1090,2015-02-01
Laxå,48,848,2015-02-01
Lekeberg,28,377,2015-02-01
Leksand,66,432,2015-02-01
Lerum,229,573,2015-02-01
Lessebo,40,477,2015-02-01
Lidingö,261,569,2015-02-01
Lidköping,285,733,2015-02-01
Lilla Edet,147,1122,2015-02-01
Lindesberg,191,816,2015-02-01
Linköping,1161,762,2015-02-01
Ljungby,156,566,2015-02-01
Ljusdal,143,753,2015-02-01
Ljusnarsberg,29,589,2015-02-01
Lomma,96,415,2015-02-01
Ludvika,189,721,2015-02-01
Luleå,537,706,2015-02-01
Lund,1163,999,2015-02-01
Lycksele,82,673,2015-02-01
Lysekil,128,890,2015-02-01
Malmö,4379,1367,2015-02-01
Malung-Sälen,151,1510,2015-02-01
Malå,16,514,2015-02-01
Mariestad,369,1539,2015-02-01
Mark,235,693,2015-02-01
Markaryd,62,642,2015-02-01
Mellerud,64,707,2015-02-01
Mjölby,134,505,2015-02-01
Mora,137,683,2015-02-01
Motala,270,632,2015-02-01
Mullsjö,37,519,2015-02-01
Munkedal,68,665,2015-02-01
Munkfors,30,820,2015-02-01
Mölndal,492,779,2015-02-01
Mönsterås,53,405,2015-02-01
Mörbylånga,59,405,2015-02-01
Nacka,791,815,2015-02-01
Nora,46,441,2015-02-01
Norberg,51,885,2015-02-01
Nordanstig,42,443,2015-02-01
Nordmaling,33,467,2015-02-01
Norrköping,1099,807,2015-02-01
Norrtälje,447,769,2015-02-01
Norsjö,13,311,2015-02-01
Nybro,150,760,2015-02-01
Nykvarn,25,250,2015-02-01
Nyköping,605,1123,2015-02-01
Nynäshamn,234,858,2015-02-01
Nässjö,235,779,2015-02-01
Ockelbo,41,706,2015-02-01
Olofström,84,641,2015-02-01
Orsa,43,634,2015-02-01
Orust,110,732,2015-02-01
Osby,103,799,2015-02-01
Oskarshamn,101,383,2015-02-01
Ovanåker,49,428,2015-02-01
Oxelösund,114,981,2015-02-01
Pajala,17,272,2015-02-01
Partille,297,808,2015-02-01
Perstorp,82,1140,2015-02-01
Piteå,214,515,2015-02-01
Ragunda,10,185,2015-02-01
Robertsfors,34,504,2015-02-01
Ronneby,185,650,2015-02-01
Rättvik,46,428,2015-02-01
Sala,201,913,2015-02-01
Salem,114,700,2015-02-01
Sandviken,266,699,2015-02-01
Sigtuna,630,1418,2015-02-01
Simrishamn,153,806,2015-02-01
Sjöbo,141,764,2015-02-01
Skara,214,1143,2015-02-01
Skellefteå,394,547,2015-02-01
Skinnskatteberg,23,517,2015-02-01
Skurup,77,508,2015-02-01
Skövde,337,632,2015-02-01
Smedjebacken,50,465,2015-02-01
Sollefteå,177,895,2015-02-01
Sollentuna,542,777,2015-02-01
Solna,920,1225,2015-02-01
Sorsele,22,866,2015-02-01
Sotenäs,35,390,2015-02-01
Staffanstorp,154,668,2015-02-01
Stenungsund,142,559,2015-02-01
Stockholm,16490,1797,2015-02-01
Storfors,13,319,2015-02-01
Storuman,42,706,2015-02-01
Strängnäs,273,803,2015-02-01
Strömstad,68,532,2015-02-01
Strömsund,45,382,2015-02-01
Sundbyberg,637,1412,2015-02-01
Sundsvall,952,977,2015-02-01
Sunne,70,532,2015-02-01
Surahammar,51,512,2015-02-01
Svalöv,87,642,2015-02-01
Svedala,106,521,2015-02-01
Svenljunga,54,517,2015-02-01
Säffle,114,743,2015-02-01
Säter,41,375,2015-02-01
Sävsjö,61,546,2015-02-01
Söderhamn,223,870,2015-02-01
Söderköping,41,288,2015-02-01
Södertälje,1081,1166,2015-02-01
Sölvesborg,180,1055,2015-02-01
Tanum,52,419,2015-02-01
Tibro,68,623,2015-02-01
Tidaholm,88,696,2015-02-01
Tierp,135,662,2015-02-01
Timrå,126,700,2015-02-01
Tingsryd,74,605,2015-02-01
Tjörn,78,512,2015-02-01
Tomelilla,96,735,2015-02-01
Torsby,64,536,2015-02-01
Torsås,65,937,2015-02-01
Tranemo,71,611,2015-02-01
Tranås,171,925,2015-02-01
Trelleborg,377,873,2015-02-01
Trollhättan,472,828,2015-02-01
Trosa,57,476,2015-02-01
Tyresö,360,786,2015-02-01
Täby,437,644,2015-02-01
Töreboda,111,1209,2015-02-01
Uddevalla,510,947,2015-02-01
Ulricehamn,109,466,2015-02-01
Umeå,726,604,2015-02-01
Upplands Väsby,453,1072,2015-02-01
Upplands-Bro,293,1147,2015-02-01
Uppsala,1544,740,2015-02-01
Uppvidinge,35,378,2015-02-01
Vadstena,31,419,2015-02-01
Vaggeryd,72,541,2015-02-01
Valdemarsvik,20,260,2015-02-01
Vallentuna,179,556,2015-02-01
Vansbro,25,373,2015-02-01
Vara,167,1068,2015-02-01
Varberg,393,647,2015-02-01
Vaxholm,37,326,2015-02-01
Vellinge,134,390,2015-02-01
Vetlanda,105,392,2015-02-01
Vilhelmina,54,790,2015-02-01
Vimmerby,63,410,2015-02-01
Vindeln,18,335,2015-02-01
Vingåker,62,694,2015-02-01
Vårgårda,92,827,2015-02-01
Vänersborg,338,886,2015-02-01
Vännäs,35,407,2015-02-01
Värmdö,295,723,2015-02-01
Värnamo,247,739,2015-02-01
Västervik,188,522,2015-02-01
Västerås,1169,809,2015-02-01
Växjö,774,884,2015-02-01
Ydre,10,273,2015-02-01
Ystad,184,637,2015-02-01
Åmål,68,546,2015-02-01
Ånge,38,400,2015-02-01
Åre,122,1149,2015-02-01
Årjäng,69,701,2015-02-01
Åsele,17,600,2015-02-01
Åstorp,155,1025,2015-02-01
Åtvidaberg,38,330,2015-02-01
Älmhult,85,530,2015-02-01
Älvdalen,34,483,2015-02-01
Älvkarleby,107,1159,2015-02-01
Älvsbyn,39,477,2015-02-01
Ängelholm,275,679,2015-02-01
Öckerö,44,347,2015-02-01
Ödeshög,22,420,2015-02-01
Örebro,1297,904,2015-02-01
Örkelljunga,159,1625,2015-02-01
Örnsköldsvik,301,543,2015-02-01
Östersund,665,1094,2015-02-01
Österåker,220,528,2015-02-01
Östhammar,67,312,2015-02-01
Östra Göinge,93,665,2015-02-01
Överkalix,21,617,2015-02-01
Övertorneå,22,472,2015-02-01
Ale,181,627,2016-02-01
Alingsås,367,927,2016-02-01
Alvesta,103,526,2016-02-01
Aneby,54,826,2016-02-01
Arboga,120,866,2016-02-01
Arjeplog,29,1005,2016-02-01
Arvidsjaur,48,742,2016-02-01
Arvika,141,546,2016-02-01
Askersund,91,816,2016-02-01
Avesta,176,773,2016-02-01
Bengtsfors,49,509,2016-02-01
Berg,29,412,2016-02-01
Bjurholm,10,408,2016-02-01
Bjuv,140,936,2016-02-01
Boden,226,810,2016-02-01
Bollebygd,49,557,2016-02-01
Bollnäs,321,1207,2016-02-01
Borgholm,90,843,2016-02-01
Borlänge,503,987,2016-02-01
Borås,996,918,2016-02-01
Botkyrka,1186,1326,2016-02-01
Boxholm,19,357,2016-02-01
Bromölla,74,591,2016-02-01
Bräcke,23,356,2016-02-01
Burlöv,159,912,2016-02-01
Båstad,92,640,2016-02-01
Dals-Ed,30,625,2016-02-01
Danderyd,424,1308,2016-02-01
Degerfors,41,430,2016-02-01
Dorotea,19,693,2016-02-01
Eda,85,999,2016-02-01
Ekerö,127,471,2016-02-01
Eksjö,123,733,2016-02-01
Emmaboda,93,1023,2016-02-01
Enköping,353,843,2016-02-01
Eskilstuna,1372,1344,2016-02-01
Eslöv,336,1036,2016-02-01
Essunga,25,447,2016-02-01
Fagersta,128,963,2016-02-01
Falkenberg,422,983,2016-02-01
Falköping,242,744,2016-02-01
Falun,324,568,2016-02-01
Filipstad,99,932,2016-02-01
Finspång,119,561,2016-02-01
Flen,186,1131,2016-02-01
Forshaga,49,431,2016-02-01
Färgelanda,37,570,2016-02-01
Gagnef,29,288,2016-02-01
Gislaved,174,594,2016-02-01
Gnesta,51,479,2016-02-01
Gnosjö,57,599,2016-02-01
Gotland,372,648,2016-02-01
Grums,84,939,2016-02-01
Grästorp,26,461,2016-02-01
Gullspång,33,631,2016-02-01
Gällivare,90,497,2016-02-01
Gävle,910,920,2016-02-01
Göteborg,7757,1415,2016-02-01
Götene,110,836,2016-02-01
Habo,39,345,2016-02-01
Hagfors,87,736,2016-02-01
Hallsberg,136,877,2016-02-01
Hallstahammar,107,684,2016-02-01
Halmstad,968,998,2016-02-01
Hammarö,40,259,2016-02-01
Haninge,1030,1228,2016-02-01
Haparanda,80,814,2016-02-01
Heby,71,522,2016-02-01
Heby,0,0,2016-02-01
Hedemora,114,748,2016-02-01
Helsingborg,1758,1275,2016-02-01
Herrljunga,83,888,2016-02-01
Hjo,42,468,2016-02-01
Hofors,35,371,2016-02-01
Huddinge,1436,1364,2016-02-01
Hudiksvall,264,714,2016-02-01
Hultsfred,90,647,2016-02-01
Hylte,116,1103,2016-02-01
Håbo,127,626,2016-02-01
Hällefors,56,796,2016-02-01
Härjedalen,111,1082,2016-02-01
Härnösand,212,846,2016-02-01
Härryda,263,718,2016-02-01
Hässleholm,414,811,2016-02-01
Höganäs,177,691,2016-02-01
Högsby,37,632,2016-02-01
Hörby,164,1092,2016-02-01
Höör,152,952,2016-02-01
Jokkmokk,38,749,2016-02-01
Järfälla,811,1120,2016-02-01
Jönköping,1253,940,2016-02-01
Kalix,144,886,2016-02-01
Kalmar,481,732,2016-02-01
Karlsborg,28,414,2016-02-01
Karlshamn,260,816,2016-02-01
Karlskoga,268,885,2016-02-01
Karlskrona,426,652,2016-02-01
Karlstad,714,800,2016-02-01
Katrineholm,344,1028,2016-02-01
Kil,40,339,2016-02-01
Kinda,29,296,2016-02-01
Kiruna,156,673,2016-02-01
Klippan,201,1188,2016-02-01
Knivsta,96,569,2016-02-01
Kramfors,192,1046,2016-02-01
Kristianstad,724,877,2016-02-01
Kristinehamn,242,997,2016-02-01
Krokom,48,325,2016-02-01
Kumla,179,846,2016-02-01
Kungsbacka,401,507,2016-02-01
Kungsör,59,707,2016-02-01
Kungälv,240,562,2016-02-01
Kävlinge,192,638,2016-02-01
Köping,190,743,2016-02-01
Laholm,166,686,2016-02-01
Landskrona,553,1258,2016-02-01
Laxå,35,619,2016-02-01
Lekeberg,29,387,2016-02-01
Leksand,96,626,2016-02-01
Lerum,253,630,2016-02-01
Lessebo,41,481,2016-02-01
Lidingö,330,713,2016-02-01
Lidköping,253,649,2016-02-01
Lilla Edet,94,713,2016-02-01
Lindesberg,214,908,2016-02-01
Linköping,1206,788,2016-02-01
Ljungby,141,510,2016-02-01
Ljusdal,108,568,2016-02-01
Ljusnarsberg,125,2537,2016-02-01
Lomma,135,579,2016-02-01
Ludvika,324,1229,2016-02-01
Luleå,540,710,2016-02-01
Lund,1048,897,2016-02-01
Lycksele,109,895,2016-02-01
Lysekil,121,837,2016-02-01
Malmö,4447,1379,2016-02-01
Malung-Sälen,182,1813,2016-02-01
Malå,10,322,2016-02-01
Mariestad,164,682,2016-02-01
Mark,320,944,2016-02-01
Markaryd,81,828,2016-02-01
Mellerud,53,578,2016-02-01
Mjölby,190,714,2016-02-01
Mora,215,1070,2016-02-01
Motala,290,676,2016-02-01
Mullsjö,44,615,2016-02-01
Munkedal,56,549,2016-02-01
Munkfors,41,1119,2016-02-01
Mölndal,517,816,2016-02-01
Mönsterås,91,692,2016-02-01
Mörbylånga,41,280,2016-02-01
Nacka,939,958,2016-02-01
Nora,31,295,2016-02-01
Norberg,55,948,2016-02-01
Nordanstig,41,432,2016-02-01
Nordmaling,47,666,2016-02-01
Norrköping,1249,911,2016-02-01
Norrtälje,445,758,2016-02-01
Norsjö,21,503,2016-02-01
Nybro,146,739,2016-02-01
Nykvarn,61,599,2016-02-01
Nyköping,527,971,2016-02-01
Nynäshamn,303,1102,2016-02-01
Nässjö,235,772,2016-02-01
Ockelbo,37,633,2016-02-01
Olofström,123,934,2016-02-01
Orsa,45,667,2016-02-01
Orust,111,740,2016-02-01
Osby,81,625,2016-02-01
Oskarshamn,119,450,2016-02-01
Ovanåker,42,366,2016-02-01
Oxelösund,62,530,2016-02-01
Pajala,22,355,2016-02-01
Partille,268,725,2016-02-01
Perstorp,98,1359,2016-02-01
Piteå,168,404,2016-02-01
Ragunda,17,316,2016-02-01
Robertsfors,33,487,2016-02-01
Ronneby,194,676,2016-02-01
Rättvik,56,520,2016-02-01
Sala,183,828,2016-02-01
Salem,101,615,2016-02-01
Sandviken,270,705,2016-02-01
Sigtuna,593,1324,2016-02-01
Simrishamn,117,614,2016-02-01
Sjöbo,171,924,2016-02-01
Skara,177,946,2016-02-01
Skellefteå,444,616,2016-02-01
Skinnskatteberg,23,514,2016-02-01
Skurup,78,515,2016-02-01
Skövde,433,809,2016-02-01
Smedjebacken,61,565,2016-02-01
Sollefteå,167,844,2016-02-01
Sollentuna,680,968,2016-02-01
Solna,1467,1926,2016-02-01
Sorsele,15,596,2016-02-01
Sotenäs,39,433,2016-02-01
Staffanstorp,130,562,2016-02-01
Stenungsund,193,757,2016-02-01
Stockholm,24804,2686,2016-02-01
Storfors,30,744,2016-02-01
Storuman,62,1043,2016-02-01
Strängnäs,305,894,2016-02-01
Strömstad,121,941,2016-02-01
Strömsund,70,598,2016-02-01
Sundbyberg,960,2082,2016-02-01
Sundsvall,894,916,2016-02-01
Sunne,53,401,2016-02-01
Surahammar,67,671,2016-02-01
Svalöv,113,828,2016-02-01
Svedala,89,435,2016-02-01
Svenljunga,65,619,2016-02-01
Säffle,109,709,2016-02-01
Säter,51,463,2016-02-01
Sävsjö,85,757,2016-02-01
Söderhamn,217,842,2016-02-01
Söderköping,59,414,2016-02-01
Södertälje,1409,1512,2016-02-01
Sölvesborg,120,699,2016-02-01
Tanum,72,578,2016-02-01
Tibro,46,419,2016-02-01
Tidaholm,79,624,2016-02-01
Tierp,180,876,2016-02-01
Timrå,137,762,2016-02-01
Tingsryd,109,889,2016-02-01
Tjörn,53,346,2016-02-01
Tomelilla,109,830,2016-02-01
Torsby,67,563,2016-02-01
Torsås,31,446,2016-02-01
Tranemo,74,637,2016-02-01
Tranås,105,566,2016-02-01
Trelleborg,335,773,2016-02-01
Trollhättan,502,879,2016-02-01
Trosa,92,762,2016-02-01
Tyresö,442,957,2016-02-01
Täby,613,898,2016-02-01
Töreboda,121,1302,2016-02-01
Uddevalla,569,1050,2016-02-01
Ulricehamn,141,600,2016-02-01
Umeå,950,787,2016-02-01
Upplands Väsby,502,1177,2016-02-01
Upplands-Bro,266,1031,2016-02-01
Uppsala,1710,814,2016-02-01
Uppvidinge,47,504,2016-02-01
Vadstena,40,540,2016-02-01
Vaggeryd,90,673,2016-02-01
Valdemarsvik,44,568,2016-02-01
Vallentuna,249,769,2016-02-01
Vansbro,38,566,2016-02-01
Vara,110,702,2016-02-01
Varberg,413,677,2016-02-01
Vaxholm,39,343,2016-02-01
Vellinge,168,485,2016-02-01
Vetlanda,131,487,2016-02-01
Vilhelmina,34,498,2016-02-01
Vimmerby,88,571,2016-02-01
Vindeln,54,1005,2016-02-01
Vingåker,62,693,2016-02-01
Vårgårda,73,654,2016-02-01
Vänersborg,292,761,2016-02-01
Vännäs,45,524,2016-02-01
Värmdö,456,1109,2016-02-01
Värnamo,201,600,2016-02-01
Västervik,223,619,2016-02-01
Västerås,1368,942,2016-02-01
Växjö,640,726,2016-02-01
Ydre,10,273,2016-02-01
Ystad,212,731,2016-02-01
Åmål,73,579,2016-02-01
Ånge,51,537,2016-02-01
Åre,150,1405,2016-02-01
Årjäng,48,486,2016-02-01
Åsele,11,388,2016-02-01
Åstorp,154,1014,2016-02-01
Åtvidaberg,48,416,2016-02-01
Älmhult,90,557,2016-02-01
Älvdalen,39,554,2016-02-01
Älvkarleby,68,732,2016-02-01
Älvsbyn,70,855,2016-02-01
Ängelholm,347,852,2016-02-01
Öckerö,38,300,2016-02-01
Ödeshög,40,764,2016-02-01
