region,count,per100k,date
Nynäshamn,272,1019,2013-04-01
Nässjö,396,1345,2013-04-01
Ockelbo,23,395,2013-04-01
Olofström,43,333,2013-04-01
Orsa,34,497,2013-04-01
Orust,64,425,2013-04-01
Osby,87,686,2013-04-01
Oskarshamn,122,466,2013-04-01
Ovanåker,25,220,2013-04-01
Oxelösund,114,1007,2013-04-01
Pajala,26,413,2013-04-01
Partille,283,786,2013-04-01
Perstorp,72,1012,2013-04-01
Piteå,192,466,2013-04-01
Ragunda,15,275,2013-04-01
Robertsfors,23,342,2013-04-01
Ronneby,173,622,2013-04-01
Rättvik,45,417,2013-04-01
Sala,178,821,2013-04-01
Salem,131,822,2013-04-01
Sandviken,259,697,2013-04-01
Sigtuna,640,1495,2013-04-01
Simrishamn,104,548,2013-04-01
Sjöbo,131,714,2013-04-01
Skara,229,1243,2013-04-01
Skellefteå,469,652,2013-04-01
Skinnskatteberg,44,1000,2013-04-01
Skurup,120,801,2013-04-01
Skövde,402,765,2013-04-01
Smedjebacken,66,619,2013-04-01
Sollefteå,132,671,2013-04-01
Sollentuna,676,1001,2013-04-01
Solna,855,1187,2013-04-01
Sorsele,23,873,2013-04-01
Sotenäs,54,602,2013-04-01
Staffanstorp,130,575,2013-04-01
Stenungsund,178,715,2013-04-01
Stockholm,15827,1779,2013-04-01
Storfors,23,555,2013-04-01
Storuman,51,853,2013-04-01
Strängnäs,274,825,2013-04-01
Strömstad,108,872,2013-04-01
Strömsund,55,456,2013-04-01
Sundbyberg,475,1139,2013-04-01
Sundsvall,1066,1101,2013-04-01
Sunne,75,574,2013-04-01
Surahammar,66,669,2013-04-01
Svalöv,217,1631,2013-04-01
Svedala,120,599,2013-04-01
Svenljunga,57,555,2013-04-01
Säffle,84,549,2013-04-01
Säter,92,847,2013-04-01
Sävsjö,137,1256,2013-04-01
Söderhamn,208,821,2013-04-01
Söderköping,84,593,2013-04-01
Södertälje,1079,1195,2013-04-01
Sölvesborg,109,649,2013-04-01
Tanum,80,651,2013-04-01
Tibro,59,551,2013-04-01
Tidaholm,94,748,2013-04-01
Tierp,175,868,2013-04-01
Timrå,110,610,2013-04-01
Tingsryd,95,782,2013-04-01
Tjörn,67,446,2013-04-01
Tomelilla,101,783,2013-04-01
Torsby,66,545,2013-04-01
Torsås,34,495,2013-04-01
Tranemo,83,718,2013-04-01
Tranås,158,870,2013-04-01
Trelleborg,348,815,2013-04-01
Trollhättan,479,853,2013-04-01
Trosa,65,560,2013-04-01
Tyresö,305,693,2013-04-01
Täby,464,705,2013-04-01
Töreboda,76,844,2013-04-01
Uddevalla,496,940,2013-04-01
Ulricehamn,143,619,2013-04-01
Umeå,869,738,2013-04-01
Upplands Väsby,375,913,2013-04-01
Upplands-Bro,197,803,2013-04-01
Uppsala,1696,832,2013-04-01
Uppvidinge,46,496,2013-04-01
Vadstena,34,462,2013-04-01
Vaggeryd,64,486,2013-04-01
Valdemarsvik,52,685,2013-04-01
Vallentuna,227,723,2013-04-01
Vansbro,29,429,2013-04-01
Vara,107,687,2013-04-01
Varberg,419,703,2013-04-01
Vaxholm,40,359,2013-04-01
Vellinge,160,475,2013-04-01
Vetlanda,143,543,2013-04-01
Vilhelmina,37,535,2013-04-01
Vimmerby,66,430,2013-04-01
Vindeln,39,729,2013-04-01
Vingåker,85,965,2013-04-01
Vårgårda,74,670,2013-04-01
Vänersborg,309,831,2013-04-01
Vännäs,52,608,2013-04-01
Värmdö,286,722,2013-04-01
Värnamo,261,789,2013-04-01
Västervik,205,571,2013-04-01
Västerås,1705,1207,2013-04-01
Växjö,868,1017,2013-04-01
Ydre,6,166,2013-04-01
Ystad,183,640,2013-04-01
Åmål,78,638,2013-04-01
Ånge,42,438,2013-04-01
Åre,118,1133,2013-04-01
Årjäng,65,656,2013-04-01
Åsele,9,309,2013-04-01
Åstorp,202,1359,2013-04-01
Åtvidaberg,63,550,2013-04-01
Älmhult,71,451,2013-04-01
Älvdalen,48,674,2013-04-01
Älvkarleby,51,561,2013-04-01
Älvsbyn,45,550,2013-04-01
Ängelholm,342,859,2013-04-01
Öckerö,41,327,2013-04-01
Ödeshög,24,463,2013-04-01
Örebro,1687,1207,2013-04-01
Örkelljunga,105,1088,2013-04-01
Örnsköldsvik,246,447,2013-04-01
Östersund,546,914,2013-04-01
Österåker,311,770,2013-04-01
Östhammar,90,422,2013-04-01
Östra Göinge,98,718,2013-04-01
Överkalix,9,260,2013-04-01
Övertorneå,24,506,2013-04-01
Ale,219,775,2014-04-01
Alingsås,368,946,2014-04-01
Alvesta,111,572,2014-04-01
Aneby,31,484,2014-04-01
Arboga,127,936,2014-04-01
Arjeplog,32,1087,2014-04-01
Arvidsjaur,37,571,2014-04-01
Arvika,246,954,2014-04-01
Askersund,64,576,2014-04-01
Avesta,173,794,2014-04-01
Bengtsfors,57,597,2014-04-01
Berg,40,562,2014-04-01
Bjurholm,8,327,2014-04-01
Bjuv,200,1347,2014-04-01
Boden,329,1181,2014-04-01
Bollebygd,48,558,2014-04-01
Bollnäs,174,662,2014-04-01
Borgholm,61,573,2014-04-01
Borlänge,546,1084,2014-04-01
Borås,1304,1224,2014-04-01
Botkyrka,1118,1267,2014-04-01
Boxholm,18,340,2014-04-01
Bromölla,65,526,2014-04-01
Bräcke,40,614,2014-04-01
Burlöv,198,1154,2014-04-01
Båstad,109,760,2014-04-01
Dals-Ed,16,337,2014-04-01
Danderyd,345,1069,2014-04-01
Degerfors,66,694,2014-04-01
Dorotea,19,689,2014-04-01
Eda,69,818,2014-04-01
Ekerö,154,581,2014-04-01
Eksjö,112,678,2014-04-01
Emmaboda,72,801,2014-04-01
Enköping,410,1002,2014-04-01
Eskilstuna,1232,1228,2014-04-01
Eslöv,314,980,2014-04-01
Essunga,46,834,2014-04-01
Fagersta,120,923,2014-04-01
Falkenberg,418,991,2014-04-01
Falköping,217,676,2014-04-01
Falun,382,672,2014-04-01
Filipstad,105,992,2014-04-01
Finspång,145,690,2014-04-01
Flen,155,957,2014-04-01
Forshaga,57,503,2014-04-01
Färgelanda,40,614,2014-04-01
Gagnef,64,638,2014-04-01
Gislaved,204,710,2014-04-01
Gnesta,66,631,2014-04-01
Gnosjö,60,634,2014-04-01
Gotland,456,797,2014-04-01
Grums,52,582,2014-04-01
Grästorp,23,408,2014-04-01
Gullspång,41,787,2014-04-01
Gällivare,133,727,2014-04-01
Gävle,960,982,2014-04-01
Göteborg,7439,1385,2014-04-01
Götene,84,643,2014-04-01
Habo,24,217,2014-04-01
Hagfors,62,517,2014-04-01
Hallsberg,124,811,2014-04-01
Hallstahammar,144,925,2014-04-01
Halmstad,925,976,2014-04-01
Hammarö,53,349,2014-04-01
Haninge,739,905,2014-04-01
Haparanda,72,732,2014-04-01
Heby,75,557,2014-04-01
Heby,0,0,2014-04-01
Hedemora,130,864,2014-04-01
Helsingborg,1826,1361,2014-04-01
Herrljunga,60,643,2014-04-01
Hjo,34,384,2014-04-01
Hofors,60,634,2014-04-01
Huddinge,1206,1167,2014-04-01
Hudiksvall,295,800,2014-04-01
Hultsfred,89,650,2014-04-01
Hylte,96,947,2014-04-01
Håbo,184,920,2014-04-01
Hällefors,50,718,2014-04-01
Härjedalen,73,712,2014-04-01
Härnösand,256,1039,2014-04-01
Härryda,240,666,2014-04-01
Hässleholm,501,994,2014-04-01
Höganäs,138,548,2014-04-01
Högsby,74,1287,2014-04-01
Hörby,104,697,2014-04-01
Höör,139,885,2014-04-01
Jokkmokk,25,493,2014-04-01
Järfälla,722,1032,2014-04-01
Jönköping,1189,904,2014-04-01
Kalix,114,697,2014-04-01
Kalmar,552,859,2014-04-01
Karlsborg,41,605,2014-04-01
Karlshamn,212,674,2014-04-01
Karlskoga,297,994,2014-04-01
Karlskrona,480,748,2014-04-01
Karlstad,851,966,2014-04-01
Katrineholm,337,1018,2014-04-01
Kil,73,616,2014-04-01
Kinda,34,347,2014-04-01
Kiruna,148,637,2014-04-01
Klippan,206,1232,2014-04-01
Knivsta,77,486,2014-04-01
Kramfors,197,1068,2014-04-01
Kristianstad,729,895,2014-04-01
Kristinehamn,193,803,2014-04-01
Krokom,38,259,2014-04-01
Kumla,202,964,2014-04-01
Kungsbacka,500,643,2014-04-01
Kungsör,60,730,2014-04-01
Kungälv,341,808,2014-04-01
Kävlinge,249,838,2014-04-01
Köping,262,1035,2014-04-01
Laholm,177,748,2014-04-01
Landskrona,588,1357,2014-04-01
Laxå,54,961,2014-04-01
Lekeberg,40,546,2014-04-01
Leksand,84,552,2014-04-01
Lerum,242,612,2014-04-01
Lessebo,61,748,2014-04-01
Lidingö,279,616,2014-04-01
Lidköping,327,847,2014-04-01
Lilla Edet,111,858,2014-04-01
Lindesberg,177,762,2014-04-01
Linköping,1423,942,2014-04-01
Ljungby,232,847,2014-04-01
Ljusdal,142,750,2014-04-01
Ljusnarsberg,64,1308,2014-04-01
Lomma,126,555,2014-04-01
Ludvika,236,912,2014-04-01
Luleå,520,687,2014-04-01
Lund,1311,1139,2014-04-01
Lycksele,95,776,2014-04-01
Lysekil,103,719,2014-04-01
Malmö,4933,1563,2014-04-01
Malung-Sälen,78,779,2014-04-01
Malå,17,542,2014-04-01
Mariestad,221,925,2014-04-01
Mark,276,816,2014-04-01
Markaryd,109,1144,2014-04-01
Mellerud,78,875,2014-04-01
Mjölby,173,656,2014-04-01
Mora,188,940,2014-04-01
Motala,319,753,2014-04-01
Mullsjö,31,438,2014-04-01
Munkedal,42,411,2014-04-01
Munkfors,38,1039,2014-04-01
Mölndal,490,785,2014-04-01
Mönsterås,67,515,2014-04-01
Mörbylånga,58,402,2014-04-01
Nacka,716,751,2014-04-01
Nora,69,665,2014-04-01
Norberg,82,1448,2014-04-01
Nordanstig,30,316,2014-04-01
Nordmaling,19,270,2014-04-01
Norrköping,1485,1104,2014-04-01
Norrtälje,618,1080,2014-04-01
Norsjö,33,790,2014-04-01
Nybro,164,837,2014-04-01
Nykvarn,63,652,2014-04-01
Nyköping,645,1211,2014-04-01
Nynäshamn,233,866,2014-04-01
Nässjö,336,1131,2014-04-01
Ockelbo,29,502,2014-04-01
Olofström,109,841,2014-04-01
Orsa,63,922,2014-04-01
Orust,83,552,2014-04-01
Osby,119,932,2014-04-01
Oskarshamn,135,514,2014-04-01
Ovanåker,36,316,2014-04-01
Oxelösund,106,924,2014-04-01
Pajala,22,349,2014-04-01
Partille,311,856,2014-04-01
Perstorp,64,894,2014-04-01
Piteå,207,500,2014-04-01
Ragunda,14,257,2014-04-01
Robertsfors,25,371,2014-04-01
Ronneby,224,799,2014-04-01
Rättvik,53,493,2014-04-01
Sala,212,970,2014-04-01
Salem,136,846,2014-04-01
Sandviken,421,1121,2014-04-01
Sigtuna,592,1354,2014-04-01
Simrishamn,111,586,2014-04-01
Sjöbo,137,744,2014-04-01
Skara,163,873,2014-04-01
Skellefteå,438,608,2014-04-01
Skinnskatteberg,58,1311,2014-04-01
Skurup,103,682,2014-04-01
Skövde,377,711,2014-04-01
Smedjebacken,68,635,2014-04-01
Sollefteå,165,838,2014-04-01
Sollentuna,707,1029,2014-04-01
Solna,881,1200,2014-04-01
Sorsele,14,543,2014-04-01
Sotenäs,31,347,2014-04-01
Staffanstorp,162,709,2014-04-01
Stenungsund,153,609,2014-04-01
Stockholm,16498,1823,2014-04-01
Storfors,26,631,2014-04-01
Storuman,61,1024,2014-04-01
Strängnäs,286,850,2014-04-01
Strömstad,116,922,2014-04-01
Strömsund,53,444,2014-04-01
Sundbyberg,703,1621,2014-04-01
Sundsvall,1086,1118,2014-04-01
Sunne,63,483,2014-04-01
Surahammar,86,871,2014-04-01
Svalöv,142,1060,2014-04-01
