Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2015;Jul;187;653;
Ale kommun;Våldsbrott ;2015;Jul;20;70;
Ale kommun;Hot-, kränknings- och frihetsbrott;2015;Jul;35;122;
Ale kommun;Vårdslöshet- och vållandebrott;2015;Jul;0;0;
Ale kommun;Stöldbrott;2015;Jul;81;283;
Ale kommun;Bilbrott;2015;Jul;16;56;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jul;15;52;
Ale kommun;Vissa trafikbrott;2015;Jul;13;45;
Ale kommun;Alkohol- och narkotikabrott;2015;Jul;12;42;
Ale kommun;Vapenbrott;2015;Jul;5;17;
Alingsås kommun;Totalt antal brott;2015;Jul;301;764;
Alingsås kommun;Våldsbrott ;2015;Jul;21;53;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2015;Jul;32;81;
Alingsås kommun;Vårdslöshet- och vållandebrott;2015;Jul;2;5;
Alingsås kommun;Stöldbrott;2015;Jul;117;297;
Alingsås kommun;Bilbrott;2015;Jul;14;36;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jul;30;76;
Alingsås kommun;Vissa trafikbrott;2015;Jul;27;69;
Alingsås kommun;Alkohol- och narkotikabrott;2015;Jul;38;96;
Alingsås kommun;Vapenbrott;2015;Jul;6;15;
Alvesta kommun;Totalt antal brott;2015;Jul;178;911;
Alvesta kommun;Våldsbrott ;2015;Jul;13;67;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2015;Jul;26;133;
Alvesta kommun;Vårdslöshet- och vållandebrott;2015;Jul;1;5;
Alvesta kommun;Stöldbrott;2015;Jul;79;404;
Alvesta kommun;Bilbrott;2015;Jul;33;169;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jul;32;164;
Alvesta kommun;Vissa trafikbrott;2015;Jul;7;36;
Alvesta kommun;Alkohol- och narkotikabrott;2015;Jul;5;26;
Alvesta kommun;Vapenbrott;2015;Jul;2;10;
Aneby kommun;Totalt antal brott;2015;Jul;39;602;
Aneby kommun;Våldsbrott ;2015;Jul;1;15;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2015;Jul;9;139;
Aneby kommun;Vårdslöshet- och vållandebrott;2015;Jul;1;15;
Aneby kommun;Stöldbrott;2015;Jul;13;201;
Aneby kommun;Bilbrott;2015;Jul;1;15;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jul;4;62;
Aneby kommun;Vissa trafikbrott;2015;Jul;2;31;
Aneby kommun;Alkohol- och narkotikabrott;2015;Jul;1;15;
Aneby kommun;Vapenbrott;2015;Jul;2;31;
Arboga kommun;Totalt antal brott;2015;Jul;121;880;
Arboga kommun;Våldsbrott ;2015;Jul;12;87;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2015;Jul;25;182;
Arboga kommun;Vårdslöshet- och vållandebrott;2015;Jul;3;22;
Arboga kommun;Stöldbrott;2015;Jul;47;342;
Arboga kommun;Bilbrott;2015;Jul;13;95;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jul;9;65;
Arboga kommun;Vissa trafikbrott;2015;Jul;11;80;
Arboga kommun;Alkohol- och narkotikabrott;2015;Jul;7;51;
Arboga kommun;Vapenbrott;2015;Jul;1;7;
Arjeplog kommun;Totalt antal brott;2015;Jul;14;483;
Arjeplog kommun;Våldsbrott ;2015;Jul;0;0;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2015;Jul;0;0;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2015;Jul;0;0;
Arjeplog kommun;Stöldbrott;2015;Jul;9;311;
Arjeplog kommun;Bilbrott;2015;Jul;2;69;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jul;3;104;
Arjeplog kommun;Vissa trafikbrott;2015;Jul;1;35;
Arjeplog kommun;Alkohol- och narkotikabrott;2015;Jul;0;0;
