Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2015;Maj;216;754;
Ale kommun;Våldsbrott ;2015;Maj;19;66;
Ale kommun;Hot-, kränknings- och frihetsbrott;2015;Maj;25;87;
Ale kommun;Vårdslöshet- och vållandebrott;2015;Maj;1;3;
Ale kommun;Stöldbrott;2015;Maj;91;318;
Ale kommun;Bilbrott;2015;Maj;36;126;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2015;Maj;32;112;
Ale kommun;Vissa trafikbrott;2015;Maj;14;49;
Ale kommun;Alkohol- och narkotikabrott;2015;Maj;17;59;
Ale kommun;Vapenbrott;2015;Maj;4;14;
Alingsås kommun;Totalt antal brott;2015;Maj;322;817;
Alingsås kommun;Våldsbrott ;2015;Maj;20;51;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2015;Maj;51;129;
Alingsås kommun;Vårdslöshet- och vållandebrott;2015;Maj;2;5;
Alingsås kommun;Stöldbrott;2015;Maj;106;269;
Alingsås kommun;Bilbrott;2015;Maj;28;71;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2015;Maj;28;71;
Alingsås kommun;Vissa trafikbrott;2015;Maj;29;74;
Alingsås kommun;Alkohol- och narkotikabrott;2015;Maj;50;127;
Alingsås kommun;Vapenbrott;2015;Maj;6;15;
Alvesta kommun;Totalt antal brott;2015;Maj;162;829;
Alvesta kommun;Våldsbrott ;2015;Maj;21;107;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2015;Maj;22;113;
Alvesta kommun;Vårdslöshet- och vållandebrott;2015;Maj;0;0;
Alvesta kommun;Stöldbrott;2015;Maj;65;333;
Alvesta kommun;Bilbrott;2015;Maj;20;102;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Maj;23;118;
Alvesta kommun;Vissa trafikbrott;2015;Maj;17;87;
Alvesta kommun;Alkohol- och narkotikabrott;2015;Maj;8;41;
Alvesta kommun;Vapenbrott;2015;Maj;3;15;
Aneby kommun;Totalt antal brott;2015;Maj;55;849;
Aneby kommun;Våldsbrott ;2015;Maj;3;46;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2015;Maj;6;93;
Aneby kommun;Vårdslöshet- och vållandebrott;2015;Maj;4;62;
Aneby kommun;Stöldbrott;2015;Maj;22;339;
Aneby kommun;Bilbrott;2015;Maj;5;77;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2015;Maj;2;31;
Aneby kommun;Vissa trafikbrott;2015;Maj;6;93;
Aneby kommun;Alkohol- och narkotikabrott;2015;Maj;10;154;
Aneby kommun;Vapenbrott;2015;Maj;0;0;
Arboga kommun;Totalt antal brott;2015;Maj;128;931;
Arboga kommun;Våldsbrott ;2015;Maj;22;160;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2015;Maj;25;182;
Arboga kommun;Vårdslöshet- och vållandebrott;2015;Maj;2;15;
Arboga kommun;Stöldbrott;2015;Maj;43;313;
Arboga kommun;Bilbrott;2015;Maj;8;58;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2015;Maj;9;65;
Arboga kommun;Vissa trafikbrott;2015;Maj;8;58;
Arboga kommun;Alkohol- och narkotikabrott;2015;Maj;6;44;
Arboga kommun;Vapenbrott;2015;Maj;2;15;
Arjeplog kommun;Totalt antal brott;2015;Maj;14;483;
Arjeplog kommun;Våldsbrott ;2015;Maj;1;35;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2015;Maj;2;69;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2015;Maj;0;0;
Arjeplog kommun;Stöldbrott;2015;Maj;2;69;
Arjeplog kommun;Bilbrott;2015;Maj;0;0;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2015;Maj;1;35;
Arjeplog kommun;Vissa trafikbrott;2015;Maj;1;35;
Arjeplog kommun;Alkohol- och narkotikabrott;2015;Maj;3;104;
Arjeplog kommun;Vapenbrott;2015;Maj;0;0;
Arvidsjaur kommun;Totalt antal brott;2015;Maj;52;803;
Arvidsjaur kommun;Våldsbrott ;2015;Maj;10;154;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2015;Maj;10;154;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2015;Maj;0;0;
Arvidsjaur kommun;Stöldbrott;2015;Maj;14;216;
Arvidsjaur kommun;Bilbrott;2015;Maj;1;15;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2015;Maj;3;46;
Arvidsjaur kommun;Vissa trafikbrott;2015;Maj;4;62;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2015;Maj;7;108;
Arvidsjaur kommun;Vapenbrott;2015;Maj;1;15;
Arvika kommun;Totalt antal brott;2015;Maj;274;1062;
Arvika kommun;Våldsbrott ;2015;Maj;13;50;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2015;Maj;36;140;
Arvika kommun;Vårdslöshet- och vållandebrott;2015;Maj;1;4;
Arvika kommun;Stöldbrott;2015;Maj;110;426;
Arvika kommun;Bilbrott;2015;Maj;32;124;
