Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2015;Sep;241;841;
Ale kommun;Våldsbrott ;2015;Sep;46;161;
Ale kommun;Hot-, kränknings- och frihetsbrott;2015;Sep;33;115;
Ale kommun;Vårdslöshet- och vållandebrott;2015;Sep;1;3;
Ale kommun;Stöldbrott;2015;Sep;78;272;
Ale kommun;Bilbrott;2015;Sep;18;63;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2015;Sep;35;122;
Ale kommun;Vissa trafikbrott;2015;Sep;18;63;
Ale kommun;Alkohol- och narkotikabrott;2015;Sep;15;52;
Ale kommun;Vapenbrott;2015;Sep;1;3;
Alingsås kommun;Totalt antal brott;2015;Sep;360;914;
Alingsås kommun;Våldsbrott ;2015;Sep;37;94;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2015;Sep;32;81;
Alingsås kommun;Vårdslöshet- och vållandebrott;2015;Sep;4;10;
Alingsås kommun;Stöldbrott;2015;Sep;162;411;
Alingsås kommun;Bilbrott;2015;Sep;27;69;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2015;Sep;22;56;
Alingsås kommun;Vissa trafikbrott;2015;Sep;20;51;
Alingsås kommun;Alkohol- och narkotikabrott;2015;Sep;55;140;
Alingsås kommun;Vapenbrott;2015;Sep;7;18;
Alvesta kommun;Totalt antal brott;2015;Sep;137;701;
Alvesta kommun;Våldsbrott ;2015;Sep;25;128;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2015;Sep;35;179;
Alvesta kommun;Vårdslöshet- och vållandebrott;2015;Sep;0;0;
Alvesta kommun;Stöldbrott;2015;Sep;47;241;
Alvesta kommun;Bilbrott;2015;Sep;12;61;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Sep;7;36;
Alvesta kommun;Vissa trafikbrott;2015;Sep;6;31;
Alvesta kommun;Alkohol- och narkotikabrott;2015;Sep;7;36;
Alvesta kommun;Vapenbrott;2015;Sep;0;0;
Aneby kommun;Totalt antal brott;2015;Sep;41;633;
Aneby kommun;Våldsbrott ;2015;Sep;7;108;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2015;Sep;6;93;
Aneby kommun;Vårdslöshet- och vållandebrott;2015;Sep;0;0;
Aneby kommun;Stöldbrott;2015;Sep;11;170;
Aneby kommun;Bilbrott;2015;Sep;5;77;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2015;Sep;4;62;
Aneby kommun;Vissa trafikbrott;2015;Sep;2;31;
Aneby kommun;Alkohol- och narkotikabrott;2015;Sep;8;123;
Aneby kommun;Vapenbrott;2015;Sep;0;0;
Arboga kommun;Totalt antal brott;2015;Sep;127;924;
Arboga kommun;Våldsbrott ;2015;Sep;15;109;
