Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2014;Jul;185;655;
Ale kommun;Våldsbrott ;2014;Jul;14;50;
Ale kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;20;71;
Ale kommun;Vårdslöshet- och vållandebrott;2014;Jul;2;7;
Ale kommun;Stöldbrott;2014;Jul;84;297;
Ale kommun;Bilbrott;2014;Jul;26;92;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;28;99;
Ale kommun;Vissa trafikbrott;2014;Jul;13;46;
Ale kommun;Alkohol- och narkotikabrott;2014;Jul;11;39;
Ale kommun;Vapenbrott;2014;Jul;1;4;
Alingsås kommun;Totalt antal brott;2014;Jul;307;789;
Alingsås kommun;Våldsbrott ;2014;Jul;36;93;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;41;105;
Alingsås kommun;Vårdslöshet- och vållandebrott;2014;Jul;2;5;
Alingsås kommun;Stöldbrott;2014;Jul;133;342;
Alingsås kommun;Bilbrott;2014;Jul;26;67;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;23;59;
Alingsås kommun;Vissa trafikbrott;2014;Jul;15;39;
Alingsås kommun;Alkohol- och narkotikabrott;2014;Jul;17;44;
Alingsås kommun;Vapenbrott;2014;Jul;3;8;
Alvesta kommun;Totalt antal brott;2014;Jul;112;578;
Alvesta kommun;Våldsbrott ;2014;Jul;10;52;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;11;57;
Alvesta kommun;Vårdslöshet- och vållandebrott;2014;Jul;1;5;
Alvesta kommun;Stöldbrott;2014;Jul;64;330;
Alvesta kommun;Bilbrott;2014;Jul;7;36;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;10;52;
Alvesta kommun;Vissa trafikbrott;2014;Jul;2;10;
Alvesta kommun;Alkohol- och narkotikabrott;2014;Jul;5;26;
Alvesta kommun;Vapenbrott;2014;Jul;1;5;
Aneby kommun;Totalt antal brott;2014;Jul;52;812;
Aneby kommun;Våldsbrott ;2014;Jul;8;125;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;13;203;
Aneby kommun;Vårdslöshet- och vållandebrott;2014;Jul;0;0;
Aneby kommun;Stöldbrott;2014;Jul;14;219;
Aneby kommun;Bilbrott;2014;Jul;2;31;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;5;78;
Aneby kommun;Vissa trafikbrott;2014;Jul;3;47;
Aneby kommun;Alkohol- och narkotikabrott;2014;Jul;6;94;
Aneby kommun;Vapenbrott;2014;Jul;0;0;
Arboga kommun;Totalt antal brott;2014;Jul;136;1003;
Arboga kommun;Våldsbrott ;2014;Jul;16;118;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;29;214;
Arboga kommun;Vårdslöshet- och vållandebrott;2014;Jul;1;7;
Arboga kommun;Stöldbrott;2014;Jul;45;332;
Arboga kommun;Bilbrott;2014;Jul;12;88;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;21;155;
Arboga kommun;Vissa trafikbrott;2014;Jul;9;66;
Arboga kommun;Alkohol- och narkotikabrott;2014;Jul;11;81;
Arboga kommun;Vapenbrott;2014;Jul;0;0;
Arjeplog kommun;Totalt antal brott;2014;Jul;21;713;
Arjeplog kommun;Våldsbrott ;2014;Jul;0;0;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;3;102;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2014;Jul;0;0;
Arjeplog kommun;Stöldbrott;2014;Jul;9;306;
Arjeplog kommun;Bilbrott;2014;Jul;2;68;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;2;68;
Arjeplog kommun;Vissa trafikbrott;2014;Jul;4;136;
Arjeplog kommun;Alkohol- och narkotikabrott;2014;Jul;2;68;
Arjeplog kommun;Vapenbrott;2014;Jul;0;0;
Arvidsjaur kommun;Totalt antal brott;2014;Jul;55;849;
Arvidsjaur kommun;Våldsbrott ;2014;Jul;2;31;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;11;170;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2014;Jul;0;0;
Arvidsjaur kommun;Stöldbrott;2014;Jul;29;448;
Arvidsjaur kommun;Bilbrott;2014;Jul;4;62;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;2;31;
Arvidsjaur kommun;Vissa trafikbrott;2014;Jul;4;62;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2014;Jul;2;31;
Arvidsjaur kommun;Vapenbrott;2014;Jul;0;0;
Arvika kommun;Totalt antal brott;2014;Jul;212;822;
Arvika kommun;Våldsbrott ;2014;Jul;13;50;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;24;93;
Arvika kommun;Vårdslöshet- och vållandebrott;2014;Jul;2;8;
Arvika kommun;Stöldbrott;2014;Jul;91;353;
Arvika kommun;Bilbrott;2014;Jul;15;58;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;22;85;
Arvika kommun;Vissa trafikbrott;2014;Jul;12;47;
Arvika kommun;Alkohol- och narkotikabrott;2014;Jul;24;93;
Arvika kommun;Vapenbrott;2014;Jul;3;12;
Askersund kommun;Totalt antal brott;2014;Jul;114;1026;
Askersund kommun;Våldsbrott ;2014;Jul;8;72;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;20;180;
Askersund kommun;Vårdslöshet- och vållandebrott;2014;Jul;1;9;
Askersund kommun;Stöldbrott;2014;Jul;42;378;
Askersund kommun;Bilbrott;2014;Jul;14;126;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;14;126;
Askersund kommun;Vissa trafikbrott;2014;Jul;5;45;
Askersund kommun;Alkohol- och narkotikabrott;2014;Jul;18;162;
Askersund kommun;Vapenbrott;2014;Jul;0;0;
Avesta kommun;Totalt antal brott;2014;Jul;176;807;
Avesta kommun;Våldsbrott ;2014;Jul;14;64;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;27;124;
Avesta kommun;Vårdslöshet- och vållandebrott;2014;Jul;2;9;
Avesta kommun;Stöldbrott;2014;Jul;75;344;
Avesta kommun;Bilbrott;2014;Jul;19;87;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;26;119;
Avesta kommun;Vissa trafikbrott;2014;Jul;13;60;
Avesta kommun;Alkohol- och narkotikabrott;2014;Jul;9;41;
Avesta kommun;Vapenbrott;2014;Jul;1;5;
Bengtsfors kommun;Totalt antal brott;2014;Jul;71;743;
Bengtsfors kommun;Våldsbrott ;2014;Jul;5;52;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;16;167;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2014;Jul;0;0;
Bengtsfors kommun;Stöldbrott;2014;Jul;20;209;
Bengtsfors kommun;Bilbrott;2014;Jul;5;52;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;8;84;
Bengtsfors kommun;Vissa trafikbrott;2014;Jul;12;126;
Bengtsfors kommun;Alkohol- och narkotikabrott;2014;Jul;8;84;
Bengtsfors kommun;Vapenbrott;2014;Jul;1;10;
Berg kommun;Totalt antal brott;2014;Jul;28;394;
Berg kommun;Våldsbrott ;2014;Jul;4;56;
Berg kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;7;98;
Berg kommun;Vårdslöshet- och vållandebrott;2014;Jul;1;14;
Berg kommun;Stöldbrott;2014;Jul;7;98;
Berg kommun;Bilbrott;2014;Jul;1;14;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;1;14;
Berg kommun;Vissa trafikbrott;2014;Jul;4;56;
Berg kommun;Alkohol- och narkotikabrott;2014;Jul;2;28;
Berg kommun;Vapenbrott;2014;Jul;0;0;
Bjurholm kommun;Totalt antal brott;2014;Jul;16;655;
Bjurholm kommun;Våldsbrott ;2014;Jul;4;164;
Bjurholm kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;6;246;
Bjurholm kommun;Vårdslöshet- och vållandebrott;2014;Jul;0;0;
Bjurholm kommun;Stöldbrott;2014;Jul;2;82;
Bjurholm kommun;Bilbrott;2014;Jul;2;82;
Bjurholm kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;2;82;
Bjurholm kommun;Vissa trafikbrott;2014;Jul;2;82;
Bjurholm kommun;Alkohol- och narkotikabrott;2014;Jul;0;0;
Bjurholm kommun;Vapenbrott;2014;Jul;0;0;
Bjuv kommun;Totalt antal brott;2014;Jul;150;1010;
Bjuv kommun;Våldsbrott ;2014;Jul;16;108;
Bjuv kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;30;202;
Bjuv kommun;Vårdslöshet- och vållandebrott;2014;Jul;1;7;
Bjuv kommun;Stöldbrott;2014;Jul;58;391;
Bjuv kommun;Bilbrott;2014;Jul;19;128;
Bjuv kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;10;67;
Bjuv kommun;Vissa trafikbrott;2014;Jul;8;54;
Bjuv kommun;Alkohol- och narkotikabrott;2014;Jul;5;34;
Bjuv kommun;Vapenbrott;2014;Jul;1;7;
Boden kommun;Totalt antal brott;2014;Jul;202;725;
Boden kommun;Våldsbrott ;2014;Jul;34;122;
Boden kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;31;111;
Boden kommun;Vårdslöshet- och vållandebrott;2014;Jul;7;25;
Boden kommun;Stöldbrott;2014;Jul;64;230;
Boden kommun;Bilbrott;2014;Jul;13;47;
Boden kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;23;83;
Boden kommun;Vissa trafikbrott;2014;Jul;11;39;
Boden kommun;Alkohol- och narkotikabrott;2014;Jul;10;36;
Boden kommun;Vapenbrott;2014;Jul;0;0;
Bollebygd kommun;Totalt antal brott;2014;Jul;64;744;
Bollebygd kommun;Våldsbrott ;2014;Jul;20;232;
Bollebygd kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;19;221;
Bollebygd kommun;Vårdslöshet- och vållandebrott;2014;Jul;1;12;
Bollebygd kommun;Stöldbrott;2014;Jul;17;198;
Bollebygd kommun;Bilbrott;2014;Jul;5;58;
Bollebygd kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;5;58;
Bollebygd kommun;Vissa trafikbrott;2014;Jul;4;46;
Bollebygd kommun;Alkohol- och narkotikabrott;2014;Jul;2;23;
Bollebygd kommun;Vapenbrott;2014;Jul;0;0;
Bollnäs kommun;Totalt antal brott;2014;Jul;199;758;
Bollnäs kommun;Våldsbrott ;2014;Jul;24;91;
Bollnäs kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;31;118;
Bollnäs kommun;Vårdslöshet- och vållandebrott;2014;Jul;3;11;
Bollnäs kommun;Stöldbrott;2014;Jul;98;373;
Bollnäs kommun;Bilbrott;2014;Jul;12;46;
Bollnäs kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;14;53;
Bollnäs kommun;Vissa trafikbrott;2014;Jul;9;34;
Bollnäs kommun;Alkohol- och narkotikabrott;2014;Jul;5;19;
Bollnäs kommun;Vapenbrott;2014;Jul;1;4;
Borgholm kommun;Totalt antal brott;2014;Jul;167;1568;
Borgholm kommun;Våldsbrott ;2014;Jul;17;160;
Borgholm kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;18;169;
Borgholm kommun;Vårdslöshet- och vållandebrott;2014;Jul;2;19;
Borgholm kommun;Stöldbrott;2014;Jul;76;714;
Borgholm kommun;Bilbrott;2014;Jul;10;94;
Borgholm kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;17;160;
Borgholm kommun;Vissa trafikbrott;2014;Jul;9;85;
Borgholm kommun;Alkohol- och narkotikabrott;2014;Jul;9;85;
Borgholm kommun;Vapenbrott;2014;Jul;3;28;
Borlänge kommun;Totalt antal brott;2014;Jul;483;959;
Borlänge kommun;Våldsbrott ;2014;Jul;51;101;
Borlänge kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;52;103;
Borlänge kommun;Vårdslöshet- och vållandebrott;2014;Jul;4;8;
Borlänge kommun;Stöldbrott;2014;Jul;228;453;
Borlänge kommun;Bilbrott;2014;Jul;36;71;
Borlänge kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jul;50;99;
Borlänge kommun;Vissa trafikbrott;2014;Jul;16;32;
Borlänge kommun;Alkohol- och narkotikabrott;2014;Jul;29;58;
Borlänge kommun;Vapenbrott;2014;Jul;8;16;
Borås kommun;Totalt antal brott;2014;Jul;1000;939;
Borås kommun;Våldsbrott ;2014;Jul;114;107;
Borås kommun;Hot-, kränknings- och frihetsbrott;2014;Jul;126;118;
Borås kommun;Vårdslöshet- och vållandebrott;2014;Jul;8;8;
Borås kommun;Stöldbrott;2014;Jul;382;359;
Borås kommun;Bilbrott;2014;Jul;87;82;
