Region;Brott;År;Period;Antal;/100 000 inv
Askersund kommun;Bilbrott;2016 prel.;Okt;7;63;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;9;81;
Askersund kommun;Vissa trafikbrott;2016 prel.;Okt;5;45;
Askersund kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;23;206;
Askersund kommun;Vapenbrott;2016 prel.;Okt;4;36;
Avesta kommun;Totalt antal brott;2016 prel.;Okt;198;869;
Avesta kommun;Våldsbrott ;2016 prel.;Okt;23;101;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;32;140;
Avesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;3;13;
Avesta kommun;Stöldbrott;2016 prel.;Okt;99;435;
Avesta kommun;Bilbrott;2016 prel.;Okt;16;70;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;12;53;
Avesta kommun;Vissa trafikbrott;2016 prel.;Okt;12;53;
Avesta kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;6;26;
Avesta kommun;Vapenbrott;2016 prel.;Okt;0;0;
Bengtsfors kommun;Totalt antal brott;2016 prel.;Okt;66;686;
Bengtsfors kommun;Våldsbrott ;2016 prel.;Okt;9;93;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;8;83;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;1;10;
Bengtsfors kommun;Stöldbrott;2016 prel.;Okt;22;229;
Bengtsfors kommun;Bilbrott;2016 prel.;Okt;6;62;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;7;73;
Bengtsfors kommun;Vissa trafikbrott;2016 prel.;Okt;9;93;
Bengtsfors kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;2;21;
Bengtsfors kommun;Vapenbrott;2016 prel.;Okt;0;0;
Berg kommun;Totalt antal brott;2016 prel.;Okt;23;327;
Berg kommun;Våldsbrott ;2016 prel.;Okt;0;0;
Berg kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;3;43;
Berg kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;0;0;
Berg kommun;Stöldbrott;2016 prel.;Okt;5;71;
Berg kommun;Bilbrott;2016 prel.;Okt;3;43;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;4;57;
Berg kommun;Vissa trafikbrott;2016 prel.;Okt;8;114;
Berg kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;2;28;
Berg kommun;Vapenbrott;2016 prel.;Okt;1;14;
Bjurholm kommun;Totalt antal brott;2016 prel.;Okt;14;571;
Bjurholm kommun;Våldsbrott ;2016 prel.;Okt;1;41;
Bjurholm kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;4;163;
Bjurholm kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;0;0;
Bjurholm kommun;Stöldbrott;2016 prel.;Okt;2;82;
Bjurholm kommun;Bilbrott;2016 prel.;Okt;0;0;
Bjurholm kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;2;82;
Bjurholm kommun;Vissa trafikbrott;2016 prel.;Okt;1;41;
Bjurholm kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;1;41;
Bjurholm kommun;Vapenbrott;2016 prel.;Okt;0;0;
Bjuv kommun;Totalt antal brott;2016 prel.;Okt;150;1003;
Bjuv kommun;Våldsbrott ;2016 prel.;Okt;13;87;
Bjuv kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;31;207;
Bjuv kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;0;0;
Bjuv kommun;Stöldbrott;2016 prel.;Okt;48;321;
Bjuv kommun;Bilbrott;2016 prel.;Okt;17;114;
Bjuv kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;15;100;
Bjuv kommun;Vissa trafikbrott;2016 prel.;Okt;16;107;
Bjuv kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;13;87;
Bjuv kommun;Vapenbrott;2016 prel.;Okt;1;7;
Boden kommun;Totalt antal brott;2016 prel.;Okt;224;802;
Boden kommun;Våldsbrott ;2016 prel.;Okt;24;86;
Boden kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;24;86;
Boden kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;1;4;
Boden kommun;Stöldbrott;2016 prel.;Okt;72;258;
Boden kommun;Bilbrott;2016 prel.;Okt;17;61;
Boden kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;17;61;
Boden kommun;Vissa trafikbrott;2016 prel.;Okt;24;86;
Boden kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;31;111;
Boden kommun;Vapenbrott;2016 prel.;Okt;1;4;
Bollebygd kommun;Totalt antal brott;2016 prel.;Okt;61;693;
Bollebygd kommun;Våldsbrott ;2016 prel.;Okt;3;34;
Bollebygd kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;5;57;
Bollebygd kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;1;11;
Bollebygd kommun;Stöldbrott;2016 prel.;Okt;21;239;
Bollebygd kommun;Bilbrott;2016 prel.;Okt;8;91;
Bollebygd kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;3;34;
Bollebygd kommun;Vissa trafikbrott;2016 prel.;Okt;8;91;
Bollebygd kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;7;80;
Bollebygd kommun;Vapenbrott;2016 prel.;Okt;0;0;
Bollnäs kommun;Totalt antal brott;2016 prel.;Okt;198;745;
Bollnäs kommun;Våldsbrott ;2016 prel.;Okt;21;79;
Bollnäs kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;29;109;
Bollnäs kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;3;11;
Bollnäs kommun;Stöldbrott;2016 prel.;Okt;54;203;
Bollnäs kommun;Bilbrott;2016 prel.;Okt;10;38;
Bollnäs kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;27;102;
Bollnäs kommun;Vissa trafikbrott;2016 prel.;Okt;11;41;
Bollnäs kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;21;79;
Bollnäs kommun;Vapenbrott;2016 prel.;Okt;4;15;
Borgholm kommun;Totalt antal brott;2016 prel.;Okt;68;637;
Borgholm kommun;Våldsbrott ;2016 prel.;Okt;4;37;
Borgholm kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;15;140;
Borgholm kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;0;0;
