Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2016 prel.;Nov;190;658;
Ale kommun;Våldsbrott ;2016 prel.;Nov;14;49;
Ale kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Nov;17;59;
Ale kommun;Vårdslöshet- och vållandebrott;2016 prel.;Nov;2;7;
Ale kommun;Stöldbrott;2016 prel.;Nov;68;236;
Ale kommun;Bilbrott;2016 prel.;Nov;29;100;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Nov;32;111;
Ale kommun;Vissa trafikbrott;2016 prel.;Nov;7;24;
Ale kommun;Alkohol- och narkotikabrott;2016 prel.;Nov;27;94;
Ale kommun;Vapenbrott;2016 prel.;Nov;7;24;
Alingsås kommun;Totalt antal brott;2016 prel.;Nov;385;972;
Alingsås kommun;Våldsbrott ;2016 prel.;Nov;29;73;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Nov;47;119;
Alingsås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Nov;1;3;
Alingsås kommun;Stöldbrott;2016 prel.;Nov;146;369;
Alingsås kommun;Bilbrott;2016 prel.;Nov;44;111;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Nov;29;73;
Alingsås kommun;Vissa trafikbrott;2016 prel.;Nov;29;73;
Alingsås kommun;Alkohol- och narkotikabrott;2016 prel.;Nov;62;157;
Alingsås kommun;Vapenbrott;2016 prel.;Nov;14;35;
Alvesta kommun;Totalt antal brott;2016 prel.;Nov;113;577;
Alvesta kommun;Våldsbrott ;2016 prel.;Nov;19;97;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Nov;19;97;
Alvesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Nov;1;5;
Alvesta kommun;Stöldbrott;2016 prel.;Nov;39;199;
Alvesta kommun;Bilbrott;2016 prel.;Nov;8;41;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Nov;12;61;
Alvesta kommun;Vissa trafikbrott;2016 prel.;Nov;3;15;
Alvesta kommun;Alkohol- och narkotikabrott;2016 prel.;Nov;2;10;
Alvesta kommun;Vapenbrott;2016 prel.;Nov;0;0;
Aneby kommun;Totalt antal brott;2016 prel.;Nov;42;642;
Aneby kommun;Våldsbrott ;2016 prel.;Nov;2;31;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Nov;10;153;
Aneby kommun;Vårdslöshet- och vållandebrott;2016 prel.;Nov;3;46;
Aneby kommun;Stöldbrott;2016 prel.;Nov;8;122;
Aneby kommun;Bilbrott;2016 prel.;Nov;2;31;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Nov;6;92;
Aneby kommun;Vissa trafikbrott;2016 prel.;Nov;2;31;
Aneby kommun;Alkohol- och narkotikabrott;2016 prel.;Nov;6;92;
Aneby kommun;Vapenbrott;2016 prel.;Nov;0;0;
Arboga kommun;Totalt antal brott;2016 prel.;Nov;116;837;
Arboga kommun;Våldsbrott ;2016 prel.;Nov;4;29;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Nov;13;94;
Arboga kommun;Vårdslöshet- och vållandebrott;2016 prel.;Nov;0;0;
Arboga kommun;Stöldbrott;2016 prel.;Nov;50;361;
Arboga kommun;Bilbrott;2016 prel.;Nov;8;58;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Nov;13;94;
Arboga kommun;Vissa trafikbrott;2016 prel.;Nov;15;108;
Arboga kommun;Alkohol- och narkotikabrott;2016 prel.;Nov;14;101;
Arboga kommun;Vapenbrott;2016 prel.;Nov;0;0;
Arjeplog kommun;Totalt antal brott;2016 prel.;Nov;25;866;
Arjeplog kommun;Våldsbrott ;2016 prel.;Nov;2;69;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Nov;1;35;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2016 prel.;Nov;0;0;
Arjeplog kommun;Stöldbrott;2016 prel.;Nov;4;139;
Arjeplog kommun;Bilbrott;2016 prel.;Nov;2;69;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Nov;0;0;
Arjeplog kommun;Vissa trafikbrott;2016 prel.;Nov;6;208;
Arjeplog kommun;Alkohol- och narkotikabrott;2016 prel.;Nov;5;173;
Arjeplog kommun;Vapenbrott;2016 prel.;Nov;1;35;
Arvidsjaur kommun;Totalt antal brott;2016 prel.;Nov;67;1035;
Arvidsjaur kommun;Våldsbrott ;2016 prel.;Nov;4;62;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Nov;6;93;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2016 prel.;Nov;0;0;
Arvidsjaur kommun;Stöldbrott;2016 prel.;Nov;16;247;
Arvidsjaur kommun;Bilbrott;2016 prel.;Nov;8;124;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Nov;2;31;
Arvidsjaur kommun;Vissa trafikbrott;2016 prel.;Nov;14;216;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2016 prel.;Nov;19;294;
Arvidsjaur kommun;Vapenbrott;2016 prel.;Nov;1;15;
Arvika kommun;Totalt antal brott;2016 prel.;Nov;191;739;
Arvika kommun;Våldsbrott ;2016 prel.;Nov;8;31;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Nov;26;101;
Arvika kommun;Vårdslöshet- och vållandebrott;2016 prel.;Nov;0;0;
Arvika kommun;Stöldbrott;2016 prel.;Nov;77;298;
Arvika kommun;Bilbrott;2016 prel.;Nov;11;43;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Nov;9;35;
Arvika kommun;Vissa trafikbrott;2016 prel.;Nov;14;54;
Arvika kommun;Alkohol- och narkotikabrott;2016 prel.;Nov;38;147;
Arvika kommun;Vapenbrott;2016 prel.;Nov;7;27;
