Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2013;Dec;230;823;
Ale kommun;Våldsbrott ;2013;Dec;21;75;
Ale kommun;Hot-, kränknings- och frihetsbrott;2013;Dec;29;104;
Ale kommun;Vårdslöshet- och vållandebrott;2013;Dec;0;0;
Ale kommun;Stöldbrott;2013;Dec;108;386;
Ale kommun;Bilbrott;2013;Dec;28;100;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2013;Dec;26;93;
Ale kommun;Vissa trafikbrott;2013;Dec;19;68;
Ale kommun;Alkohol- och narkotikabrott;2013;Dec;20;72;
Ale kommun;Vapenbrott;2013;Dec;1;4;
Alingsås kommun;Totalt antal brott;2013;Dec;238;618;
Alingsås kommun;Våldsbrott ;2013;Dec;27;70;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2013;Dec;41;107;
Alingsås kommun;Vårdslöshet- och vållandebrott;2013;Dec;2;5;
Alingsås kommun;Stöldbrott;2013;Dec;83;216;
Alingsås kommun;Bilbrott;2013;Dec;21;55;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2013;Dec;21;55;
Alingsås kommun;Vissa trafikbrott;2013;Dec;28;73;
Alingsås kommun;Alkohol- och narkotikabrott;2013;Dec;23;60;
Alingsås kommun;Vapenbrott;2013;Dec;1;3;
Alvesta kommun;Totalt antal brott;2013;Dec;125;653;
Alvesta kommun;Våldsbrott ;2013;Dec;12;63;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2013;Dec;11;57;
Alvesta kommun;Vårdslöshet- och vållandebrott;2013;Dec;2;10;
Alvesta kommun;Stöldbrott;2013;Dec;50;261;
Alvesta kommun;Bilbrott;2013;Dec;7;37;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Dec;10;52;
Alvesta kommun;Vissa trafikbrott;2013;Dec;12;63;
Alvesta kommun;Alkohol- och narkotikabrott;2013;Dec;25;131;
Alvesta kommun;Vapenbrott;2013;Dec;1;5;
Aneby kommun;Totalt antal brott;2013;Dec;26;407;
Aneby kommun;Våldsbrott ;2013;Dec;1;16;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2013;Dec;2;31;
Aneby kommun;Vårdslöshet- och vållandebrott;2013;Dec;0;0;
Aneby kommun;Stöldbrott;2013;Dec;13;203;
Aneby kommun;Bilbrott;2013;Dec;1;16;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2013;Dec;2;31;
Aneby kommun;Vissa trafikbrott;2013;Dec;4;63;
Aneby kommun;Alkohol- och narkotikabrott;2013;Dec;2;31;
Aneby kommun;Vapenbrott;2013;Dec;0;0;
Arboga kommun;Totalt antal brott;2013;Dec;115;857;
Arboga kommun;Våldsbrott ;2013;Dec;5;37;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2013;Dec;13;97;
Arboga kommun;Vårdslöshet- och vållandebrott;2013;Dec;1;7;
Arboga kommun;Stöldbrott;2013;Dec;39;291;
Arboga kommun;Bilbrott;2013;Dec;6;45;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2013;Dec;16;119;
Arboga kommun;Vissa trafikbrott;2013;Dec;9;67;
Arboga kommun;Alkohol- och narkotikabrott;2013;Dec;19;142;
Arboga kommun;Vapenbrott;2013;Dec;3;22;
Arjeplog kommun;Totalt antal brott;2013;Dec;14;464;
Arjeplog kommun;Våldsbrott ;2013;Dec;1;33;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2013;Dec;2;66;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2013;Dec;0;0;
Arjeplog kommun;Stöldbrott;2013;Dec;9;298;
Arjeplog kommun;Bilbrott;2013;Dec;3;99;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2013;Dec;0;0;
Arjeplog kommun;Vissa trafikbrott;2013;Dec;1;33;
Arjeplog kommun;Alkohol- och narkotikabrott;2013;Dec;0;0;
Arjeplog kommun;Vapenbrott;2013;Dec;0;0;
Arvidsjaur kommun;Totalt antal brott;2013;Dec;31;479;
Arvidsjaur kommun;Våldsbrott ;2013;Dec;5;77;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2013;Dec;6;93;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2013;Dec;0;0;
Arvidsjaur kommun;Stöldbrott;2013;Dec;11;170;
Arvidsjaur kommun;Bilbrott;2013;Dec;5;77;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2013;Dec;4;62;
Arvidsjaur kommun;Vissa trafikbrott;2013;Dec;1;15;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2013;Dec;1;15;
Arvidsjaur kommun;Vapenbrott;2013;Dec;1;15;
Arvika kommun;Totalt antal brott;2013;Dec;198;767;
Arvika kommun;Våldsbrott ;2013;Dec;23;89;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2013;Dec;30;116;
Arvika kommun;Vårdslöshet- och vållandebrott;2013;Dec;1;4;
Arvika kommun;Stöldbrott;2013;Dec;65;252;
Arvika kommun;Bilbrott;2013;Dec;10;39;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2013;Dec;20;77;
Arvika kommun;Vissa trafikbrott;2013;Dec;19;74;
Arvika kommun;Alkohol- och narkotikabrott;2013;Dec;29;112;
Arvika kommun;Vapenbrott;2013;Dec;3;12;
Askersund kommun;Totalt antal brott;2013;Dec;58;525;
Askersund kommun;Våldsbrott ;2013;Dec;6;54;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2013;Dec;12;109;
Askersund kommun;Vårdslöshet- och vållandebrott;2013;Dec;1;9;
Askersund kommun;Stöldbrott;2013;Dec;15;136;
Askersund kommun;Bilbrott;2013;Dec;4;36;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2013;Dec;5;45;
Askersund kommun;Vissa trafikbrott;2013;Dec;5;45;
Askersund kommun;Alkohol- och narkotikabrott;2013;Dec;8;72;
