Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2016 prel.;Mar;241;835;
Ale kommun;Våldsbrott ;2016 prel.;Mar;31;107;
Ale kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Mar;28;97;
Ale kommun;Vårdslöshet- och vållandebrott;2016 prel.;Mar;1;3;
Ale kommun;Stöldbrott;2016 prel.;Mar;93;322;
Ale kommun;Bilbrott;2016 prel.;Mar;22;76;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Mar;35;121;
Ale kommun;Vissa trafikbrott;2016 prel.;Mar;13;45;
Ale kommun;Alkohol- och narkotikabrott;2016 prel.;Mar;21;73;
Ale kommun;Vapenbrott;2016 prel.;Mar;5;17;
Alingsås kommun;Totalt antal brott;2016 prel.;Mar;318;803;
Alingsås kommun;Våldsbrott ;2016 prel.;Mar;30;76;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Mar;35;88;
Alingsås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Mar;3;8;
Alingsås kommun;Stöldbrott;2016 prel.;Mar;99;250;
Alingsås kommun;Bilbrott;2016 prel.;Mar;14;35;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Mar;14;35;
Alingsås kommun;Vissa trafikbrott;2016 prel.;Mar;33;83;
Alingsås kommun;Alkohol- och narkotikabrott;2016 prel.;Mar;71;179;
Alingsås kommun;Vapenbrott;2016 prel.;Mar;11;28;
Alvesta kommun;Totalt antal brott;2016 prel.;Mar;123;628;
Alvesta kommun;Våldsbrott ;2016 prel.;Mar;8;41;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Mar;23;117;
Alvesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Mar;0;0;
Alvesta kommun;Stöldbrott;2016 prel.;Mar;45;230;
Alvesta kommun;Bilbrott;2016 prel.;Mar;6;31;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Mar;13;66;
Alvesta kommun;Vissa trafikbrott;2016 prel.;Mar;5;26;
Alvesta kommun;Alkohol- och narkotikabrott;2016 prel.;Mar;12;61;
Alvesta kommun;Vapenbrott;2016 prel.;Mar;0;0;
Aneby kommun;Totalt antal brott;2016 prel.;Mar;42;642;
Aneby kommun;Våldsbrott ;2016 prel.;Mar;5;76;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Mar;9;138;
Aneby kommun;Vårdslöshet- och vållandebrott;2016 prel.;Mar;0;0;
Aneby kommun;Stöldbrott;2016 prel.;Mar;13;199;
Aneby kommun;Bilbrott;2016 prel.;Mar;2;31;
