Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2016 prel.;Aug;171;592;
Ale kommun;Våldsbrott ;2016 prel.;Aug;16;55;
Ale kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Aug;24;83;
Ale kommun;Vårdslöshet- och vållandebrott;2016 prel.;Aug;1;3;
Ale kommun;Stöldbrott;2016 prel.;Aug;64;222;
Ale kommun;Bilbrott;2016 prel.;Aug;22;76;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Aug;31;107;
Ale kommun;Vissa trafikbrott;2016 prel.;Aug;9;31;
Ale kommun;Alkohol- och narkotikabrott;2016 prel.;Aug;8;28;
Ale kommun;Vapenbrott;2016 prel.;Aug;1;3;
Alingsås kommun;Totalt antal brott;2016 prel.;Aug;303;765;
Alingsås kommun;Våldsbrott ;2016 prel.;Aug;28;71;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Aug;42;106;
Alingsås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Aug;3;8;
Alingsås kommun;Stöldbrott;2016 prel.;Aug;120;303;
Alingsås kommun;Bilbrott;2016 prel.;Aug;19;48;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Aug;27;68;
Alingsås kommun;Vissa trafikbrott;2016 prel.;Aug;17;43;
Alingsås kommun;Alkohol- och narkotikabrott;2016 prel.;Aug;28;71;
Alingsås kommun;Vapenbrott;2016 prel.;Aug;1;3;
Alvesta kommun;Totalt antal brott;2016 prel.;Aug;104;531;
Alvesta kommun;Våldsbrott ;2016 prel.;Aug;17;87;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Aug;15;77;
Alvesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Aug;0;0;
Alvesta kommun;Stöldbrott;2016 prel.;Aug;36;184;
Alvesta kommun;Bilbrott;2016 prel.;Aug;9;46;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Aug;16;82;
Alvesta kommun;Vissa trafikbrott;2016 prel.;Aug;5;26;
Alvesta kommun;Alkohol- och narkotikabrott;2016 prel.;Aug;2;10;
Alvesta kommun;Vapenbrott;2016 prel.;Aug;0;0;
Aneby kommun;Totalt antal brott;2016 prel.;Aug;59;903;
Aneby kommun;Våldsbrott ;2016 prel.;Aug;10;153;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Aug;10;153;
Aneby kommun;Vårdslöshet- och vållandebrott;2016 prel.;Aug;1;15;
Aneby kommun;Stöldbrott;2016 prel.;Aug;14;214;
Aneby kommun;Bilbrott;2016 prel.;Aug;5;76;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Aug;1;15;
Aneby kommun;Vissa trafikbrott;2016 prel.;Aug;1;15;
Aneby kommun;Alkohol- och narkotikabrott;2016 prel.;Aug;1;15;
Aneby kommun;Vapenbrott;2016 prel.;Aug;0;0;
Arboga kommun;Totalt antal brott;2016 prel.;Aug;125;902;
Arboga kommun;Våldsbrott ;2016 prel.;Aug;22;159;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Aug;16;115;
Arboga kommun;Vårdslöshet- och vållandebrott;2016 prel.;Aug;0;0;
Arboga kommun;Stöldbrott;2016 prel.;Aug;47;339;
Arboga kommun;Bilbrott;2016 prel.;Aug;11;79;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Aug;12;87;
Arboga kommun;Vissa trafikbrott;2016 prel.;Aug;13;94;
Arboga kommun;Alkohol- och narkotikabrott;2016 prel.;Aug;9;65;
Arboga kommun;Vapenbrott;2016 prel.;Aug;2;14;
Arjeplog kommun;Totalt antal brott;2016 prel.;Aug;25;866;
Arjeplog kommun;Våldsbrott ;2016 prel.;Aug;2;69;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Aug;2;69;
