Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2015;Jun;230;803;
Ale kommun;Våldsbrott ;2015;Jun;18;63;
Ale kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;19;66;
Ale kommun;Vårdslöshet- och vållandebrott;2015;Jun;2;7;
Ale kommun;Stöldbrott;2015;Jun;102;356;
Ale kommun;Bilbrott;2015;Jun;34;119;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;28;98;
Ale kommun;Vissa trafikbrott;2015;Jun;10;35;
Ale kommun;Alkohol- och narkotikabrott;2015;Jun;21;73;
Ale kommun;Vapenbrott;2015;Jun;1;3;
Alingsås kommun;Totalt antal brott;2015;Jun;376;954;
Alingsås kommun;Våldsbrott ;2015;Jun;30;76;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;60;152;
Alingsås kommun;Vårdslöshet- och vållandebrott;2015;Jun;1;3;
Alingsås kommun;Stöldbrott;2015;Jun;157;399;
Alingsås kommun;Bilbrott;2015;Jun;39;99;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;26;66;
Alingsås kommun;Vissa trafikbrott;2015;Jun;18;46;
Alingsås kommun;Alkohol- och narkotikabrott;2015;Jun;42;107;
Alingsås kommun;Vapenbrott;2015;Jun;4;10;
Alvesta kommun;Totalt antal brott;2015;Jun;131;670;
Alvesta kommun;Våldsbrott ;2015;Jun;10;51;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;19;97;
Alvesta kommun;Vårdslöshet- och vållandebrott;2015;Jun;0;0;
Alvesta kommun;Stöldbrott;2015;Jun;57;292;
Alvesta kommun;Bilbrott;2015;Jun;12;61;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;17;87;
Alvesta kommun;Vissa trafikbrott;2015;Jun;2;10;
Alvesta kommun;Alkohol- och narkotikabrott;2015;Jun;2;10;
Alvesta kommun;Vapenbrott;2015;Jun;0;0;
Aneby kommun;Totalt antal brott;2015;Jun;58;895;
Aneby kommun;Våldsbrott ;2015;Jun;2;31;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;13;201;
Aneby kommun;Vårdslöshet- och vållandebrott;2015;Jun;0;0;
Aneby kommun;Stöldbrott;2015;Jun;21;324;
Aneby kommun;Bilbrott;2015;Jun;4;62;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;4;62;
Aneby kommun;Vissa trafikbrott;2015;Jun;7;108;
Aneby kommun;Alkohol- och narkotikabrott;2015;Jun;9;139;
Aneby kommun;Vapenbrott;2015;Jun;0;0;
Arboga kommun;Totalt antal brott;2015;Jun;115;837;
Arboga kommun;Våldsbrott ;2015;Jun;11;80;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;13;95;
Arboga kommun;Vårdslöshet- och vållandebrott;2015;Jun;1;7;
Arboga kommun;Stöldbrott;2015;Jun;56;407;
Arboga kommun;Bilbrott;2015;Jun;14;102;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;11;80;
Arboga kommun;Vissa trafikbrott;2015;Jun;8;58;
Arboga kommun;Alkohol- och narkotikabrott;2015;Jun;10;73;
Arboga kommun;Vapenbrott;2015;Jun;3;22;
Arjeplog kommun;Totalt antal brott;2015;Jun;9;311;
Arjeplog kommun;Våldsbrott ;2015;Jun;1;35;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;0;0;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2015;Jun;0;0;
Arjeplog kommun;Stöldbrott;2015;Jun;6;207;
Arjeplog kommun;Bilbrott;2015;Jun;0;0;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;1;35;
Arjeplog kommun;Vissa trafikbrott;2015;Jun;0;0;
Arjeplog kommun;Alkohol- och narkotikabrott;2015;Jun;0;0;
Arjeplog kommun;Vapenbrott;2015;Jun;0;0;
Arvidsjaur kommun;Totalt antal brott;2015;Jun;34;525;
Arvidsjaur kommun;Våldsbrott ;2015;Jun;2;31;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;5;77;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2015;Jun;0;0;
Arvidsjaur kommun;Stöldbrott;2015;Jun;11;170;
Arvidsjaur kommun;Bilbrott;2015;Jun;2;31;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;7;108;
Arvidsjaur kommun;Vissa trafikbrott;2015;Jun;5;77;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2015;Jun;0;0;
Arvidsjaur kommun;Vapenbrott;2015;Jun;0;0;
Arvika kommun;Totalt antal brott;2015;Jun;214;829;
Arvika kommun;Våldsbrott ;2015;Jun;17;66;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;28;109;
Arvika kommun;Vårdslöshet- och vållandebrott;2015;Jun;4;16;
Arvika kommun;Stöldbrott;2015;Jun;80;310;
Arvika kommun;Bilbrott;2015;Jun;23;89;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;13;50;
Arvika kommun;Vissa trafikbrott;2015;Jun;17;66;
Arvika kommun;Alkohol- och narkotikabrott;2015;Jun;32;124;
Arvika kommun;Vapenbrott;2015;Jun;3;12;
Askersund kommun;Totalt antal brott;2015;Jun;75;674;
Askersund kommun;Våldsbrott ;2015;Jun;11;99;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;15;135;
Askersund kommun;Vårdslöshet- och vållandebrott;2015;Jun;1;9;
Askersund kommun;Stöldbrott;2015;Jun;31;278;
Askersund kommun;Bilbrott;2015;Jun;4;36;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;4;36;
Askersund kommun;Vissa trafikbrott;2015;Jun;5;45;
Askersund kommun;Alkohol- och narkotikabrott;2015;Jun;8;72;
Askersund kommun;Vapenbrott;2015;Jun;0;0;
Avesta kommun;Totalt antal brott;2015;Jun;175;781;
Avesta kommun;Våldsbrott ;2015;Jun;28;125;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;33;147;
Avesta kommun;Vårdslöshet- och vållandebrott;2015;Jun;0;0;
Avesta kommun;Stöldbrott;2015;Jun;63;281;
Avesta kommun;Bilbrott;2015;Jun;12;54;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;18;80;
Avesta kommun;Vissa trafikbrott;2015;Jun;15;67;
Avesta kommun;Alkohol- och narkotikabrott;2015;Jun;11;49;
Avesta kommun;Vapenbrott;2015;Jun;0;0;
Bengtsfors kommun;Totalt antal brott;2015;Jun;112;1168;
Bengtsfors kommun;Våldsbrott ;2015;Jun;4;42;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;11;115;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2015;Jun;1;10;
Bengtsfors kommun;Stöldbrott;2015;Jun;52;542;
Bengtsfors kommun;Bilbrott;2015;Jun;15;156;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;10;104;
Bengtsfors kommun;Vissa trafikbrott;2015;Jun;18;188;
Bengtsfors kommun;Alkohol- och narkotikabrott;2015;Jun;8;83;
Bengtsfors kommun;Vapenbrott;2015;Jun;1;10;
Berg kommun;Totalt antal brott;2015;Jun;70;993;
Berg kommun;Våldsbrott ;2015;Jun;5;71;
Berg kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;6;85;
Berg kommun;Vårdslöshet- och vållandebrott;2015;Jun;0;0;
Berg kommun;Stöldbrott;2015;Jun;6;85;
Berg kommun;Bilbrott;2015;Jun;2;28;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;4;57;
Berg kommun;Vissa trafikbrott;2015;Jun;7;99;
Berg kommun;Alkohol- och narkotikabrott;2015;Jun;4;57;
Berg kommun;Vapenbrott;2015;Jun;1;14;
Bjurholm kommun;Totalt antal brott;2015;Jun;13;530;
Bjurholm kommun;Våldsbrott ;2015;Jun;0;0;
Bjurholm kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;1;41;
Bjurholm kommun;Vårdslöshet- och vållandebrott;2015;Jun;0;0;
Bjurholm kommun;Stöldbrott;2015;Jun;7;285;
Bjurholm kommun;Bilbrott;2015;Jun;2;82;
Bjurholm kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;2;82;
Bjurholm kommun;Vissa trafikbrott;2015;Jun;0;0;
Bjurholm kommun;Alkohol- och narkotikabrott;2015;Jun;0;0;
Bjurholm kommun;Vapenbrott;2015;Jun;0;0;
Bjuv kommun;Totalt antal brott;2015;Jun;149;998;
Bjuv kommun;Våldsbrott ;2015;Jun;8;54;
Bjuv kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;28;188;
Bjuv kommun;Vårdslöshet- och vållandebrott;2015;Jun;0;0;
Bjuv kommun;Stöldbrott;2015;Jun;51;342;
Bjuv kommun;Bilbrott;2015;Jun;13;87;
Bjuv kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;16;107;
Bjuv kommun;Vissa trafikbrott;2015;Jun;12;80;
Bjuv kommun;Alkohol- och narkotikabrott;2015;Jun;17;114;
Bjuv kommun;Vapenbrott;2015;Jun;2;13;
Boden kommun;Totalt antal brott;2015;Jun;218;781;
Boden kommun;Våldsbrott ;2015;Jun;19;68;
Boden kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;27;97;
Boden kommun;Vårdslöshet- och vållandebrott;2015;Jun;1;4;
Boden kommun;Stöldbrott;2015;Jun;95;341;
Boden kommun;Bilbrott;2015;Jun;18;65;
Boden kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;20;72;
Boden kommun;Vissa trafikbrott;2015;Jun;10;36;
Boden kommun;Alkohol- och narkotikabrott;2015;Jun;24;86;
Boden kommun;Vapenbrott;2015;Jun;0;0;
Bollebygd kommun;Totalt antal brott;2015;Jun;57;653;
Bollebygd kommun;Våldsbrott ;2015;Jun;4;46;
Bollebygd kommun;Hot-, kränknings- och frihetsbrott;2015;Jun;4;46;
Bollebygd kommun;Vårdslöshet- och vållandebrott;2015;Jun;0;0;
Bollebygd kommun;Stöldbrott;2015;Jun;25;287;
Bollebygd kommun;Bilbrott;2015;Jun;1;11;
Bollebygd kommun;Skadegörelsebrott (inkl. mordbrand);2015;Jun;4;46;
