Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2013;Jul;212;758;
Ale kommun;Våldsbrott ;2013;Jul;20;72;
Ale kommun;Hot-, kränknings- och frihetsbrott;2013;Jul;27;97;
Ale kommun;Vårdslöshet- och vållandebrott;2013;Jul;1;4;
Ale kommun;Stöldbrott;2013;Jul;98;351;
Ale kommun;Bilbrott;2013;Jul;21;75;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jul;35;125;
Ale kommun;Vissa trafikbrott;2013;Jul;9;32;
Ale kommun;Alkohol- och narkotikabrott;2013;Jul;8;29;
Ale kommun;Vapenbrott;2013;Jul;1;4;
Alingsås kommun;Totalt antal brott;2013;Jul;260;676;
Alingsås kommun;Våldsbrott ;2013;Jul;31;81;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2013;Jul;41;107;
Alingsås kommun;Vårdslöshet- och vållandebrott;2013;Jul;0;0;
Alingsås kommun;Stöldbrott;2013;Jul;114;296;
Alingsås kommun;Bilbrott;2013;Jul;25;65;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jul;21;55;
Alingsås kommun;Vissa trafikbrott;2013;Jul;7;18;
Alingsås kommun;Alkohol- och narkotikabrott;2013;Jul;18;47;
Alingsås kommun;Vapenbrott;2013;Jul;1;3;
Alvesta kommun;Totalt antal brott;2013;Jul;186;971;
Alvesta kommun;Våldsbrott ;2013;Jul;13;68;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2013;Jul;28;146;
Alvesta kommun;Vårdslöshet- och vållandebrott;2013;Jul;1;5;
Alvesta kommun;Stöldbrott;2013;Jul;78;407;
Alvesta kommun;Bilbrott;2013;Jul;11;57;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jul;7;37;
Alvesta kommun;Vissa trafikbrott;2013;Jul;8;42;
Alvesta kommun;Alkohol- och narkotikabrott;2013;Jul;34;177;
Alvesta kommun;Vapenbrott;2013;Jul;3;16;
Aneby kommun;Totalt antal brott;2013;Jul;48;751;
Aneby kommun;Våldsbrott ;2013;Jul;3;47;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2013;Jul;7;110;
Aneby kommun;Vårdslöshet- och vållandebrott;2013;Jul;0;0;
Aneby kommun;Stöldbrott;2013;Jul;17;266;
Aneby kommun;Bilbrott;2013;Jul;2;31;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jul;7;110;
Aneby kommun;Vissa trafikbrott;2013;Jul;3;47;
Aneby kommun;Alkohol- och narkotikabrott;2013;Jul;2;31;
Aneby kommun;Vapenbrott;2013;Jul;0;0;
Arboga kommun;Totalt antal brott;2013;Jul;119;887;
Arboga kommun;Våldsbrott ;2013;Jul;12;89;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2013;Jul;21;156;
Arboga kommun;Vårdslöshet- och vållandebrott;2013;Jul;2;15;
Arboga kommun;Stöldbrott;2013;Jul;41;305;
Arboga kommun;Bilbrott;2013;Jul;9;67;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jul;15;112;
Arboga kommun;Vissa trafikbrott;2013;Jul;8;60;
Arboga kommun;Alkohol- och narkotikabrott;2013;Jul;7;52;
Arboga kommun;Vapenbrott;2013;Jul;1;7;
Arjeplog kommun;Totalt antal brott;2013;Jul;23;762;
Arjeplog kommun;Våldsbrott ;2013;Jul;3;99;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2013;Jul;1;33;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2013;Jul;0;0;
Arjeplog kommun;Stöldbrott;2013;Jul;14;464;
Arjeplog kommun;Bilbrott;2013;Jul;2;66;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jul;1;33;
Arjeplog kommun;Vissa trafikbrott;2013;Jul;2;66;
Arjeplog kommun;Alkohol- och narkotikabrott;2013;Jul;2;66;
Arjeplog kommun;Vapenbrott;2013;Jul;0;0;
Arvidsjaur kommun;Totalt antal brott;2013;Jul;17;263;
Arvidsjaur kommun;Våldsbrott ;2013;Jul;1;15;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2013;Jul;1;15;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2013;Jul;1;15;
Arvidsjaur kommun;Stöldbrott;2013;Jul;11;170;
Arvidsjaur kommun;Bilbrott;2013;Jul;1;15;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jul;0;0;
Arvidsjaur kommun;Vissa trafikbrott;2013;Jul;1;15;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2013;Jul;1;15;
Arvidsjaur kommun;Vapenbrott;2013;Jul;0;0;
Arvika kommun;Totalt antal brott;2013;Jul;182;705;
Arvika kommun;Våldsbrott ;2013;Jul;8;31;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2013;Jul;22;85;
Arvika kommun;Vårdslöshet- och vållandebrott;2013;Jul;2;8;
Arvika kommun;Stöldbrott;2013;Jul;62;240;
Arvika kommun;Bilbrott;2013;Jul;25;97;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jul;39;151;
Arvika kommun;Vissa trafikbrott;2013;Jul;7;27;
Arvika kommun;Alkohol- och narkotikabrott;2013;Jul;27;105;
Arvika kommun;Vapenbrott;2013;Jul;2;8;
Askersund kommun;Totalt antal brott;2013;Jul;130;1176;
Askersund kommun;Våldsbrott ;2013;Jul;14;127;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2013;Jul;20;181;
Askersund kommun;Vårdslöshet- och vållandebrott;2013;Jul;3;27;
Askersund kommun;Stöldbrott;2013;Jul;51;461;
Askersund kommun;Bilbrott;2013;Jul;15;136;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jul;17;154;
Askersund kommun;Vissa trafikbrott;2013;Jul;9;81;
Askersund kommun;Alkohol- och narkotikabrott;2013;Jul;19;172;
Askersund kommun;Vapenbrott;2013;Jul;0;0;
Avesta kommun;Totalt antal brott;2013;Jul;160;743;
Avesta kommun;Våldsbrott ;2013;Jul;20;93;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2013;Jul;38;177;
Avesta kommun;Vårdslöshet- och vållandebrott;2013;Jul;0;0;
Avesta kommun;Stöldbrott;2013;Jul;56;260;
Avesta kommun;Bilbrott;2013;Jul;11;51;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jul;17;79;
Avesta kommun;Vissa trafikbrott;2013;Jul;7;33;
Avesta kommun;Alkohol- och narkotikabrott;2013;Jul;3;14;
Avesta kommun;Vapenbrott;2013;Jul;1;5;
Bengtsfors kommun;Totalt antal brott;2013;Jul;89;930;
Bengtsfors kommun;Våldsbrott ;2013;Jul;2;21;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2013;Jul;12;125;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2013;Jul;2;21;
Bengtsfors kommun;Stöldbrott;2013;Jul;44;460;
Bengtsfors kommun;Bilbrott;2013;Jul;14;146;
