Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2013;Aug;238;851;
Ale kommun;Våldsbrott ;2013;Aug;14;50;
Ale kommun;Hot-, kränknings- och frihetsbrott;2013;Aug;18;64;
Ale kommun;Vårdslöshet- och vållandebrott;2013;Aug;0;0;
Ale kommun;Stöldbrott;2013;Aug;127;454;
Ale kommun;Bilbrott;2013;Aug;27;97;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2013;Aug;30;107;
Ale kommun;Vissa trafikbrott;2013;Aug;11;39;
Ale kommun;Alkohol- och narkotikabrott;2013;Aug;8;29;
Ale kommun;Vapenbrott;2013;Aug;2;7;
Alingsås kommun;Totalt antal brott;2013;Aug;307;798;
Alingsås kommun;Våldsbrott ;2013;Aug;28;73;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2013;Aug;44;114;
Alingsås kommun;Vårdslöshet- och vållandebrott;2013;Aug;0;0;
Alingsås kommun;Stöldbrott;2013;Aug;123;320;
Alingsås kommun;Bilbrott;2013;Aug;29;75;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2013;Aug;36;94;
Alingsås kommun;Vissa trafikbrott;2013;Aug;14;36;
Alingsås kommun;Alkohol- och narkotikabrott;2013;Aug;37;96;
Alingsås kommun;Vapenbrott;2013;Aug;4;10;
Alvesta kommun;Totalt antal brott;2013;Aug;116;606;
Alvesta kommun;Våldsbrott ;2013;Aug;5;26;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2013;Aug;15;78;
Alvesta kommun;Vårdslöshet- och vållandebrott;2013;Aug;2;10;
Alvesta kommun;Stöldbrott;2013;Aug;59;308;
Alvesta kommun;Bilbrott;2013;Aug;6;31;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Aug;8;42;
Alvesta kommun;Vissa trafikbrott;2013;Aug;6;31;
Alvesta kommun;Alkohol- och narkotikabrott;2013;Aug;3;16;
Alvesta kommun;Vapenbrott;2013;Aug;1;5;
Aneby kommun;Totalt antal brott;2013;Aug;42;657;
Aneby kommun;Våldsbrott ;2013;Aug;1;16;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2013;Aug;5;78;
Aneby kommun;Vårdslöshet- och vållandebrott;2013;Aug;1;16;
Aneby kommun;Stöldbrott;2013;Aug;15;235;
Aneby kommun;Bilbrott;2013;Aug;3;47;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2013;Aug;2;31;
Aneby kommun;Vissa trafikbrott;2013;Aug;6;94;
Aneby kommun;Alkohol- och narkotikabrott;2013;Aug;7;110;
Aneby kommun;Vapenbrott;2013;Aug;1;16;
Arboga kommun;Totalt antal brott;2013;Aug;163;1214;
Arboga kommun;Våldsbrott ;2013;Aug;11;82;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2013;Aug;16;119;
Arboga kommun;Vårdslöshet- och vållandebrott;2013;Aug;0;0;
Arboga kommun;Stöldbrott;2013;Aug;89;663;
Arboga kommun;Bilbrott;2013;Aug;19;142;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2013;Aug;25;186;
Arboga kommun;Vissa trafikbrott;2013;Aug;8;60;
Arboga kommun;Alkohol- och narkotikabrott;2013;Aug;11;82;
Arboga kommun;Vapenbrott;2013;Aug;0;0;
Arjeplog kommun;Totalt antal brott;2013;Aug;16;530;
Arjeplog kommun;Våldsbrott ;2013;Aug;4;133;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2013;Aug;1;33;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2013;Aug;0;0;
Arjeplog kommun;Stöldbrott;2013;Aug;6;199;
Arjeplog kommun;Bilbrott;2013;Aug;2;66;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2013;Aug;3;99;
Arjeplog kommun;Vissa trafikbrott;2013;Aug;0;0;
Arjeplog kommun;Alkohol- och narkotikabrott;2013;Aug;0;0;
Arjeplog kommun;Vapenbrott;2013;Aug;0;0;
Arvidsjaur kommun;Totalt antal brott;2013;Aug;34;526;
Arvidsjaur kommun;Våldsbrott ;2013;Aug;2;31;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2013;Aug;0;0;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2013;Aug;0;0;
Arvidsjaur kommun;Stöldbrott;2013;Aug;25;386;
Arvidsjaur kommun;Bilbrott;2013;Aug;3;46;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2013;Aug;3;46;
Arvidsjaur kommun;Vissa trafikbrott;2013;Aug;4;62;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2013;Aug;2;31;
Arvidsjaur kommun;Vapenbrott;2013;Aug;0;0;
Arvika kommun;Totalt antal brott;2013;Aug;234;906;
Arvika kommun;Våldsbrott ;2013;Aug;36;139;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2013;Aug;30;116;
Arvika kommun;Vårdslöshet- och vållandebrott;2013;Aug;1;4;
Arvika kommun;Stöldbrott;2013;Aug;74;287;
Arvika kommun;Bilbrott;2013;Aug;20;77;
