Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2013;Okt;298;1066;
Ale kommun;Våldsbrott ;2013;Okt;27;97;
Ale kommun;Hot-, kränknings- och frihetsbrott;2013;Okt;31;111;
Ale kommun;Vårdslöshet- och vållandebrott;2013;Okt;1;4;
Ale kommun;Stöldbrott;2013;Okt;140;501;
Ale kommun;Bilbrott;2013;Okt;37;132;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2013;Okt;22;79;
Ale kommun;Vissa trafikbrott;2013;Okt;10;36;
Ale kommun;Alkohol- och narkotikabrott;2013;Okt;12;43;
Ale kommun;Vapenbrott;2013;Okt;2;7;
Alingsås kommun;Totalt antal brott;2013;Okt;301;782;
Alingsås kommun;Våldsbrott ;2013;Okt;31;81;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2013;Okt;43;112;
Alingsås kommun;Vårdslöshet- och vållandebrott;2013;Okt;2;5;
Alingsås kommun;Stöldbrott;2013;Okt;112;291;
Alingsås kommun;Bilbrott;2013;Okt;23;60;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2013;Okt;28;73;
Alingsås kommun;Vissa trafikbrott;2013;Okt;31;81;
Alingsås kommun;Alkohol- och narkotikabrott;2013;Okt;37;96;
Alingsås kommun;Vapenbrott;2013;Okt;0;0;
Alvesta kommun;Totalt antal brott;2013;Okt;168;877;
Alvesta kommun;Våldsbrott ;2013;Okt;7;37;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2013;Okt;16;84;
Alvesta kommun;Vårdslöshet- och vållandebrott;2013;Okt;1;5;
Alvesta kommun;Stöldbrott;2013;Okt;51;266;
Alvesta kommun;Bilbrott;2013;Okt;9;47;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Okt;11;57;
Alvesta kommun;Vissa trafikbrott;2013;Okt;9;47;
Alvesta kommun;Alkohol- och narkotikabrott;2013;Okt;70;365;
Alvesta kommun;Vapenbrott;2013;Okt;0;0;
Aneby kommun;Totalt antal brott;2013;Okt;22;344;
Aneby kommun;Våldsbrott ;2013;Okt;0;0;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2013;Okt;2;31;
Aneby kommun;Vårdslöshet- och vållandebrott;2013;Okt;2;31;
Aneby kommun;Stöldbrott;2013;Okt;8;125;
Aneby kommun;Bilbrott;2013;Okt;1;16;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2013;Okt;4;63;
Aneby kommun;Vissa trafikbrott;2013;Okt;2;31;
Aneby kommun;Alkohol- och narkotikabrott;2013;Okt;2;31;
Aneby kommun;Vapenbrott;2013;Okt;0;0;
Arboga kommun;Totalt antal brott;2013;Okt;142;1058;
Arboga kommun;Våldsbrott ;2013;Okt;10;74;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2013;Okt;16;119;
Arboga kommun;Vårdslöshet- och vållandebrott;2013;Okt;1;7;
Arboga kommun;Stöldbrott;2013;Okt;53;395;
