Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2016 prel.;Apr;168;582;
Ale kommun;Våldsbrott ;2016 prel.;Apr;12;42;
Ale kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Apr;30;104;
Ale kommun;Vårdslöshet- och vållandebrott;2016 prel.;Apr;2;7;
Ale kommun;Stöldbrott;2016 prel.;Apr;69;239;
Ale kommun;Bilbrott;2016 prel.;Apr;22;76;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Apr;26;90;
Ale kommun;Vissa trafikbrott;2016 prel.;Apr;9;31;
Ale kommun;Alkohol- och narkotikabrott;2016 prel.;Apr;5;17;
Ale kommun;Vapenbrott;2016 prel.;Apr;0;0;
Alingsås kommun;Totalt antal brott;2016 prel.;Apr;350;884;
Alingsås kommun;Våldsbrott ;2016 prel.;Apr;35;88;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Apr;55;139;
Alingsås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Apr;4;10;
Alingsås kommun;Stöldbrott;2016 prel.;Apr;95;240;
Alingsås kommun;Bilbrott;2016 prel.;Apr;17;43;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Apr;33;83;
Alingsås kommun;Vissa trafikbrott;2016 prel.;Apr;37;93;
Alingsås kommun;Alkohol- och narkotikabrott;2016 prel.;Apr;57;144;
Alingsås kommun;Vapenbrott;2016 prel.;Apr;8;20;
Alvesta kommun;Totalt antal brott;2016 prel.;Apr;112;572;
Alvesta kommun;Våldsbrott ;2016 prel.;Apr;11;56;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Apr;22;112;
Alvesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Apr;0;0;
Alvesta kommun;Stöldbrott;2016 prel.;Apr;35;179;
Alvesta kommun;Bilbrott;2016 prel.;Apr;5;26;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Apr;7;36;
Alvesta kommun;Vissa trafikbrott;2016 prel.;Apr;7;36;
Alvesta kommun;Alkohol- och narkotikabrott;2016 prel.;Apr;11;56;
Alvesta kommun;Vapenbrott;2016 prel.;Apr;1;5;
Aneby kommun;Totalt antal brott;2016 prel.;Apr;45;688;
Aneby kommun;Våldsbrott ;2016 prel.;Apr;6;92;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Apr;5;76;
Aneby kommun;Vårdslöshet- och vållandebrott;2016 prel.;Apr;0;0;
Aneby kommun;Stöldbrott;2016 prel.;Apr;11;168;
Aneby kommun;Bilbrott;2016 prel.;Apr;2;31;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Apr;3;46;
Aneby kommun;Vissa trafikbrott;2016 prel.;Apr;4;61;
Aneby kommun;Alkohol- och narkotikabrott;2016 prel.;Apr;5;76;
Aneby kommun;Vapenbrott;2016 prel.;Apr;0;0;
Arboga kommun;Totalt antal brott;2016 prel.;Apr;110;794;
Arboga kommun;Våldsbrott ;2016 prel.;Apr;13;94;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Apr;14;101;
Arboga kommun;Vårdslöshet- och vållandebrott;2016 prel.;Apr;0;0;
Arboga kommun;Stöldbrott;2016 prel.;Apr;50;361;
Arboga kommun;Bilbrott;2016 prel.;Apr;5;36;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Apr;4;29;
Arboga kommun;Vissa trafikbrott;2016 prel.;Apr;9;65;
Arboga kommun;Alkohol- och narkotikabrott;2016 prel.;Apr;6;43;
Arboga kommun;Vapenbrott;2016 prel.;Apr;2;14;
Arjeplog kommun;Totalt antal brott;2016 prel.;Apr;28;970;
