Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2013;Jun;174;622;
Ale kommun;Våldsbrott ;2013;Jun;16;57;
Ale kommun;Hot-, kränknings- och frihetsbrott;2013;Jun;25;89;
Ale kommun;Vårdslöshet- och vållandebrott;2013;Jun;0;0;
Ale kommun;Stöldbrott;2013;Jun;69;247;
Ale kommun;Bilbrott;2013;Jun;27;97;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jun;28;100;
Ale kommun;Vissa trafikbrott;2013;Jun;6;21;
Ale kommun;Alkohol- och narkotikabrott;2013;Jun;7;25;
Ale kommun;Vapenbrott;2013;Jun;1;4;
Alingsås kommun;Totalt antal brott;2013;Jun;339;881;
Alingsås kommun;Våldsbrott ;2013;Jun;32;83;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2013;Jun;56;146;
Alingsås kommun;Vårdslöshet- och vållandebrott;2013;Jun;1;3;
Alingsås kommun;Stöldbrott;2013;Jun;119;309;
Alingsås kommun;Bilbrott;2013;Jun;22;57;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jun;29;75;
Alingsås kommun;Vissa trafikbrott;2013;Jun;14;36;
Alingsås kommun;Alkohol- och narkotikabrott;2013;Jun;47;122;
Alingsås kommun;Vapenbrott;2013;Jun;3;8;
Alvesta kommun;Totalt antal brott;2013;Jun;146;762;
Alvesta kommun;Våldsbrott ;2013;Jun;14;73;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2013;Jun;30;157;
Alvesta kommun;Vårdslöshet- och vållandebrott;2013;Jun;0;0;
Alvesta kommun;Stöldbrott;2013;Jun;59;308;
Alvesta kommun;Bilbrott;2013;Jun;15;78;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jun;14;73;
Alvesta kommun;Vissa trafikbrott;2013;Jun;7;37;
Alvesta kommun;Alkohol- och narkotikabrott;2013;Jun;8;42;
Alvesta kommun;Vapenbrott;2013;Jun;2;10;
Aneby kommun;Totalt antal brott;2013;Jun;52;814;
Aneby kommun;Våldsbrott ;2013;Jun;9;141;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2013;Jun;5;78;
Aneby kommun;Vårdslöshet- och vållandebrott;2013;Jun;0;0;
Aneby kommun;Stöldbrott;2013;Jun;25;391;
Aneby kommun;Bilbrott;2013;Jun;8;125;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jun;3;47;
Aneby kommun;Vissa trafikbrott;2013;Jun;5;78;
Aneby kommun;Alkohol- och narkotikabrott;2013;Jun;3;47;
Aneby kommun;Vapenbrott;2013;Jun;0;0;
Arboga kommun;Totalt antal brott;2013;Jun;135;1006;
Arboga kommun;Våldsbrott ;2013;Jun;12;89;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2013;Jun;13;97;
Arboga kommun;Vårdslöshet- och vållandebrott;2013;Jun;1;7;
Arboga kommun;Stöldbrott;2013;Jun;70;521;
Arboga kommun;Bilbrott;2013;Jun;12;89;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jun;12;89;
Arboga kommun;Vissa trafikbrott;2013;Jun;4;30;
Arboga kommun;Alkohol- och narkotikabrott;2013;Jun;13;97;
