Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2014;Maj;244;864;
Ale kommun;Våldsbrott ;2014;Maj;14;50;
Ale kommun;Hot-, kränknings- och frihetsbrott;2014;Maj;23;81;
Ale kommun;Vårdslöshet- och vållandebrott;2014;Maj;4;14;
Ale kommun;Stöldbrott;2014;Maj;106;375;
Ale kommun;Bilbrott;2014;Maj;25;89;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2014;Maj;24;85;
Ale kommun;Vissa trafikbrott;2014;Maj;17;60;
Ale kommun;Alkohol- och narkotikabrott;2014;Maj;24;85;
Ale kommun;Vapenbrott;2014;Maj;2;7;
Alingsås kommun;Totalt antal brott;2014;Maj;380;977;
Alingsås kommun;Våldsbrott ;2014;Maj;37;95;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2014;Maj;39;100;
Alingsås kommun;Vårdslöshet- och vållandebrott;2014;Maj;2;5;
Alingsås kommun;Stöldbrott;2014;Maj;126;324;
Alingsås kommun;Bilbrott;2014;Maj;14;36;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2014;Maj;21;54;
Alingsås kommun;Vissa trafikbrott;2014;Maj;22;57;
Alingsås kommun;Alkohol- och narkotikabrott;2014;Maj;76;195;
Alingsås kommun;Vapenbrott;2014;Maj;10;26;
Alvesta kommun;Totalt antal brott;2014;Maj;148;763;
Alvesta kommun;Våldsbrott ;2014;Maj;9;46;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2014;Maj;22;113;
Alvesta kommun;Vårdslöshet- och vållandebrott;2014;Maj;1;5;
Alvesta kommun;Stöldbrott;2014;Maj;63;325;
Alvesta kommun;Bilbrott;2014;Maj;10;52;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2014;Maj;26;134;
Alvesta kommun;Vissa trafikbrott;2014;Maj;13;67;
Alvesta kommun;Alkohol- och narkotikabrott;2014;Maj;4;21;
Alvesta kommun;Vapenbrott;2014;Maj;0;0;
Aneby kommun;Totalt antal brott;2014;Maj;46;719;
Aneby kommun;Våldsbrott ;2014;Maj;5;78;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2014;Maj;9;141;
Aneby kommun;Vårdslöshet- och vållandebrott;2014;Maj;2;31;
Aneby kommun;Stöldbrott;2014;Maj;20;312;
Aneby kommun;Bilbrott;2014;Maj;2;31;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2014;Maj;2;31;
Aneby kommun;Vissa trafikbrott;2014;Maj;2;31;
