Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2014;Feb;178;630;
Ale kommun;Våldsbrott ;2014;Feb;14;50;
Ale kommun;Hot-, kränknings- och frihetsbrott;2014;Feb;27;96;
Ale kommun;Vårdslöshet- och vållandebrott;2014;Feb;0;0;
Ale kommun;Stöldbrott;2014;Feb;67;237;
Ale kommun;Bilbrott;2014;Feb;19;67;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2014;Feb;21;74;
Ale kommun;Vissa trafikbrott;2014;Feb;14;50;
Ale kommun;Alkohol- och narkotikabrott;2014;Feb;11;39;
Ale kommun;Vapenbrott;2014;Feb;3;11;
Alingsås kommun;Totalt antal brott;2014;Feb;267;686;
Alingsås kommun;Våldsbrott ;2014;Feb;32;82;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2014;Feb;41;105;
Alingsås kommun;Vårdslöshet- och vållandebrott;2014;Feb;1;3;
Alingsås kommun;Stöldbrott;2014;Feb;71;183;
Alingsås kommun;Bilbrott;2014;Feb;46;118;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2014;Feb;48;123;
Alingsås kommun;Vissa trafikbrott;2014;Feb;18;46;
Alingsås kommun;Alkohol- och narkotikabrott;2014;Feb;29;75;
Alingsås kommun;Vapenbrott;2014;Feb;1;3;
Alvesta kommun;Totalt antal brott;2014;Feb;79;407;
Alvesta kommun;Våldsbrott ;2014;Feb;7;36;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2014;Feb;13;67;
Alvesta kommun;Vårdslöshet- och vållandebrott;2014;Feb;1;5;
Alvesta kommun;Stöldbrott;2014;Feb;27;139;
Alvesta kommun;Bilbrott;2014;Feb;3;15;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2014;Feb;9;46;
Alvesta kommun;Vissa trafikbrott;2014;Feb;3;15;
Alvesta kommun;Alkohol- och narkotikabrott;2014;Feb;6;31;
Alvesta kommun;Vapenbrott;2014;Feb;1;5;
Aneby kommun;Totalt antal brott;2014;Feb;24;375;
Aneby kommun;Våldsbrott ;2014;Feb;1;16;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2014;Feb;1;16;
Aneby kommun;Vårdslöshet- och vållandebrott;2014;Feb;0;0;
Aneby kommun;Stöldbrott;2014;Feb;8;125;
Aneby kommun;Bilbrott;2014;Feb;2;31;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2014;Feb;2;31;
Aneby kommun;Vissa trafikbrott;2014;Feb;4;62;
Aneby kommun;Alkohol- och narkotikabrott;2014;Feb;3;47;
Aneby kommun;Vapenbrott;2014;Feb;0;0;
Arboga kommun;Totalt antal brott;2014;Feb;132;973;
Arboga kommun;Våldsbrott ;2014;Feb;25;184;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2014;Feb;24;177;
Arboga kommun;Vårdslöshet- och vållandebrott;2014;Feb;1;7;
Arboga kommun;Stöldbrott;2014;Feb;37;273;
Arboga kommun;Bilbrott;2014;Feb;12;88;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2014;Feb;14;103;
Arboga kommun;Vissa trafikbrott;2014;Feb;14;103;
Arboga kommun;Alkohol- och narkotikabrott;2014;Feb;13;96;
Arboga kommun;Vapenbrott;2014;Feb;1;7;
Arjeplog kommun;Totalt antal brott;2014;Feb;16;544;
Arjeplog kommun;Våldsbrott ;2014;Feb;0;0;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2014;Feb;2;68;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2014;Feb;0;0;
Arjeplog kommun;Stöldbrott;2014;Feb;8;272;
Arjeplog kommun;Bilbrott;2014;Feb;8;272;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2014;Feb;3;102;
Arjeplog kommun;Vissa trafikbrott;2014;Feb;1;34;
Arjeplog kommun;Alkohol- och narkotikabrott;2014;Feb;1;34;
Arjeplog kommun;Vapenbrott;2014;Feb;0;0;
Arvidsjaur kommun;Totalt antal brott;2014;Feb;24;371;
Arvidsjaur kommun;Våldsbrott ;2014;Feb;3;46;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2014;Feb;5;77;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2014;Feb;1;15;
Arvidsjaur kommun;Stöldbrott;2014;Feb;11;170;
Arvidsjaur kommun;Bilbrott;2014;Feb;7;108;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2014;Feb;3;46;
Arvidsjaur kommun;Vissa trafikbrott;2014;Feb;0;0;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2014;Feb;0;0;
Arvidsjaur kommun;Vapenbrott;2014;Feb;0;0;
Arvika kommun;Totalt antal brott;2014;Feb;179;694;
Arvika kommun;Våldsbrott ;2014;Feb;5;19;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2014;Feb;20;78;
Arvika kommun;Vårdslöshet- och vållandebrott;2014;Feb;1;4;
Arvika kommun;Stöldbrott;2014;Feb;57;221;
Arvika kommun;Bilbrott;2014;Feb;7;27;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2014;Feb;7;27;
Arvika kommun;Vissa trafikbrott;2014;Feb;29;112;
Arvika kommun;Alkohol- och narkotikabrott;2014;Feb;43;167;
Arvika kommun;Vapenbrott;2014;Feb;4;16;
Askersund kommun;Totalt antal brott;2014;Feb;63;567;
Askersund kommun;Våldsbrott ;2014;Feb;2;18;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2014;Feb;7;63;
Askersund kommun;Vårdslöshet- och vållandebrott;2014;Feb;0;0;
Askersund kommun;Stöldbrott;2014;Feb;25;225;
Askersund kommun;Bilbrott;2014;Feb;9;81;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2014;Feb;4;36;
Askersund kommun;Vissa trafikbrott;2014;Feb;1;9;
Askersund kommun;Alkohol- och narkotikabrott;2014;Feb;19;171;
Askersund kommun;Vapenbrott;2014;Feb;1;9;
