Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2013;Nov;248;887;
Ale kommun;Våldsbrott ;2013;Nov;21;75;
Ale kommun;Hot-, kränknings- och frihetsbrott;2013;Nov;36;129;
Ale kommun;Vårdslöshet- och vållandebrott;2013;Nov;1;4;
Ale kommun;Stöldbrott;2013;Nov;107;383;
Ale kommun;Bilbrott;2013;Nov;30;107;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2013;Nov;41;147;
Ale kommun;Vissa trafikbrott;2013;Nov;12;43;
Ale kommun;Alkohol- och narkotikabrott;2013;Nov;8;29;
Ale kommun;Vapenbrott;2013;Nov;2;7;
Alingsås kommun;Totalt antal brott;2013;Nov;298;774;
Alingsås kommun;Våldsbrott ;2013;Nov;31;81;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2013;Nov;56;146;
Alingsås kommun;Vårdslöshet- och vållandebrott;2013;Nov;0;0;
Alingsås kommun;Stöldbrott;2013;Nov;102;265;
Alingsås kommun;Bilbrott;2013;Nov;20;52;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2013;Nov;19;49;
Alingsås kommun;Vissa trafikbrott;2013;Nov;24;62;
Alingsås kommun;Alkohol- och narkotikabrott;2013;Nov;37;96;
Alingsås kommun;Vapenbrott;2013;Nov;3;8;
Alvesta kommun;Totalt antal brott;2013;Nov;116;606;
Alvesta kommun;Våldsbrott ;2013;Nov;10;52;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2013;Nov;22;115;
Alvesta kommun;Vårdslöshet- och vållandebrott;2013;Nov;1;5;
Alvesta kommun;Stöldbrott;2013;Nov;51;266;
Alvesta kommun;Bilbrott;2013;Nov;8;42;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Nov;7;37;
Alvesta kommun;Vissa trafikbrott;2013;Nov;3;16;
Alvesta kommun;Alkohol- och narkotikabrott;2013;Nov;15;78;
Alvesta kommun;Vapenbrott;2013;Nov;1;5;
Aneby kommun;Totalt antal brott;2013;Nov;37;579;
Aneby kommun;Våldsbrott ;2013;Nov;1;16;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2013;Nov;4;63;
Aneby kommun;Vårdslöshet- och vållandebrott;2013;Nov;0;0;
Aneby kommun;Stöldbrott;2013;Nov;20;313;
Aneby kommun;Bilbrott;2013;Nov;1;16;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2013;Nov;2;31;
Aneby kommun;Vissa trafikbrott;2013;Nov;4;63;
Aneby kommun;Alkohol- och narkotikabrott;2013;Nov;4;63;
Aneby kommun;Vapenbrott;2013;Nov;0;0;
Arboga kommun;Totalt antal brott;2013;Nov;102;760;
Arboga kommun;Våldsbrott ;2013;Nov;7;52;
