Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2013;Jan;190;680;
Ale kommun;Våldsbrott ;2013;Jan;18;64;
Ale kommun;Hot-, kränknings- och frihetsbrott;2013;Jan;25;89;
Ale kommun;Vårdslöshet- och vållandebrott;2013;Jan;0;0;
Ale kommun;Stöldbrott;2013;Jan;82;293;
Ale kommun;Bilbrott;2013;Jan;24;86;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jan;22;79;
Ale kommun;Vissa trafikbrott;2013;Jan;4;14;
Ale kommun;Alkohol- och narkotikabrott;2013;Jan;19;68;
Ale kommun;Vapenbrott;2013;Jan;1;4;
Alingsås kommun;Totalt antal brott;2013;Jan;263;683;
Alingsås kommun;Våldsbrott ;2013;Jan;28;73;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2013;Jan;25;65;
Alingsås kommun;Vårdslöshet- och vållandebrott;2013;Jan;2;5;
Alingsås kommun;Stöldbrott;2013;Jan;88;229;
Alingsås kommun;Bilbrott;2013;Jan;9;23;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jan;25;65;
Alingsås kommun;Vissa trafikbrott;2013;Jan;18;47;
Alingsås kommun;Alkohol- och narkotikabrott;2013;Jan;42;109;
Alingsås kommun;Vapenbrott;2013;Jan;8;21;
Alvesta kommun;Totalt antal brott;2013;Jan;127;663;
Alvesta kommun;Våldsbrott ;2013;Jan;16;84;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2013;Jan;22;115;
Alvesta kommun;Vårdslöshet- och vållandebrott;2013;Jan;0;0;
Alvesta kommun;Stöldbrott;2013;Jan;51;266;
Alvesta kommun;Bilbrott;2013;Jan;15;78;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jan;17;89;
Alvesta kommun;Vissa trafikbrott;2013;Jan;11;57;
Alvesta kommun;Alkohol- och narkotikabrott;2013;Jan;2;10;
Alvesta kommun;Vapenbrott;2013;Jan;2;10;
Aneby kommun;Totalt antal brott;2013;Jan;36;563;
Aneby kommun;Våldsbrott ;2013;Jan;7;110;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2013;Jan;5;78;
Aneby kommun;Vårdslöshet- och vållandebrott;2013;Jan;0;0;
Aneby kommun;Stöldbrott;2013;Jan;3;47;
Aneby kommun;Bilbrott;2013;Jan;7;110;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2013;Jan;10;156;
Aneby kommun;Vissa trafikbrott;2013;Jan;7;110;
Aneby kommun;Alkohol- och narkotikabrott;2013;Jan;5;78;
Aneby kommun;Vapenbrott;2013;Jan;1;16;
Arboga kommun;Totalt antal brott;2013;Jan;132;983;
