Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2013;Mar;185;662;
Ale kommun;Våldsbrott ;2013;Mar;8;29;
Ale kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;20;72;
Ale kommun;Vårdslöshet- och vållandebrott;2013;Mar;3;11;
Ale kommun;Stöldbrott;2013;Mar;87;311;
Ale kommun;Bilbrott;2013;Mar;31;111;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;34;122;
Ale kommun;Vissa trafikbrott;2013;Mar;6;21;
Ale kommun;Alkohol- och narkotikabrott;2013;Mar;8;29;
Ale kommun;Vapenbrott;2013;Mar;2;7;
Alingsås kommun;Totalt antal brott;2013;Mar;261;678;
Alingsås kommun;Våldsbrott ;2013;Mar;38;99;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;24;62;
Alingsås kommun;Vårdslöshet- och vållandebrott;2013;Mar;5;13;
Alingsås kommun;Stöldbrott;2013;Mar;88;229;
Alingsås kommun;Bilbrott;2013;Mar;12;31;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;13;34;
Alingsås kommun;Vissa trafikbrott;2013;Mar;18;47;
Alingsås kommun;Alkohol- och narkotikabrott;2013;Mar;38;99;
Alingsås kommun;Vapenbrott;2013;Mar;0;0;
Alvesta kommun;Totalt antal brott;2013;Mar;102;532;
Alvesta kommun;Våldsbrott ;2013;Mar;8;42;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;12;63;
Alvesta kommun;Vårdslöshet- och vållandebrott;2013;Mar;1;5;
Alvesta kommun;Stöldbrott;2013;Mar;41;214;
Alvesta kommun;Bilbrott;2013;Mar;6;31;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;15;78;
Alvesta kommun;Vissa trafikbrott;2013;Mar;8;42;
Alvesta kommun;Alkohol- och narkotikabrott;2013;Mar;8;42;
Alvesta kommun;Vapenbrott;2013;Mar;0;0;
Aneby kommun;Totalt antal brott;2013;Mar;76;1189;
Aneby kommun;Våldsbrott ;2013;Mar;15;235;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;14;219;
Aneby kommun;Vårdslöshet- och vållandebrott;2013;Mar;0;0;
Aneby kommun;Stöldbrott;2013;Mar;19;297;
Aneby kommun;Bilbrott;2013;Mar;4;63;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;4;63;
Aneby kommun;Vissa trafikbrott;2013;Mar;6;94;
Aneby kommun;Alkohol- och narkotikabrott;2013;Mar;17;266;
Aneby kommun;Vapenbrott;2013;Mar;0;0;
Arboga kommun;Totalt antal brott;2013;Mar;104;775;
Arboga kommun;Våldsbrott ;2013;Mar;7;52;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;20;149;
Arboga kommun;Vårdslöshet- och vållandebrott;2013;Mar;1;7;
Arboga kommun;Stöldbrott;2013;Mar;42;313;
Arboga kommun;Bilbrott;2013;Mar;8;60;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;7;52;
Arboga kommun;Vissa trafikbrott;2013;Mar;9;67;
Arboga kommun;Alkohol- och narkotikabrott;2013;Mar;9;67;
Arboga kommun;Vapenbrott;2013;Mar;1;7;
Arjeplog kommun;Totalt antal brott;2013;Mar;18;597;
Arjeplog kommun;Våldsbrott ;2013;Mar;3;99;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;1;33;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2013;Mar;0;0;
Arjeplog kommun;Stöldbrott;2013;Mar;8;265;
Arjeplog kommun;Bilbrott;2013;Mar;2;66;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;0;0;
Arjeplog kommun;Vissa trafikbrott;2013;Mar;1;33;
Arjeplog kommun;Alkohol- och narkotikabrott;2013;Mar;2;66;
Arjeplog kommun;Vapenbrott;2013;Mar;0;0;
Arvidsjaur kommun;Totalt antal brott;2013;Mar;29;448;
Arvidsjaur kommun;Våldsbrott ;2013;Mar;1;15;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;0;0;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2013;Mar;0;0;
Arvidsjaur kommun;Stöldbrott;2013;Mar;13;201;
Arvidsjaur kommun;Bilbrott;2013;Mar;5;77;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;8;124;
Arvidsjaur kommun;Vissa trafikbrott;2013;Mar;2;31;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2013;Mar;0;0;
Arvidsjaur kommun;Vapenbrott;2013;Mar;0;0;
Arvika kommun;Totalt antal brott;2013;Mar;202;782;
Arvika kommun;Våldsbrott ;2013;Mar;15;58;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;33;128;
Arvika kommun;Vårdslöshet- och vållandebrott;2013;Mar;2;8;
Arvika kommun;Stöldbrott;2013;Mar;74;287;
Arvika kommun;Bilbrott;2013;Mar;40;155;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;18;70;
Arvika kommun;Vissa trafikbrott;2013;Mar;6;23;
Arvika kommun;Alkohol- och narkotikabrott;2013;Mar;30;116;
Arvika kommun;Vapenbrott;2013;Mar;3;12;
Askersund kommun;Totalt antal brott;2013;Mar;81;733;
Askersund kommun;Våldsbrott ;2013;Mar;14;127;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;13;118;
Askersund kommun;Vårdslöshet- och vållandebrott;2013;Mar;0;0;
Askersund kommun;Stöldbrott;2013;Mar;18;163;
Askersund kommun;Bilbrott;2013;Mar;7;63;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;6;54;
Askersund kommun;Vissa trafikbrott;2013;Mar;5;45;
Askersund kommun;Alkohol- och narkotikabrott;2013;Mar;21;190;
Askersund kommun;Vapenbrott;2013;Mar;0;0;
Avesta kommun;Totalt antal brott;2013;Mar;142;660;
Avesta kommun;Våldsbrott ;2013;Mar;17;79;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;27;125;
Avesta kommun;Vårdslöshet- och vållandebrott;2013;Mar;0;0;
Avesta kommun;Stöldbrott;2013;Mar;50;232;
Avesta kommun;Bilbrott;2013;Mar;6;28;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;11;51;
Avesta kommun;Vissa trafikbrott;2013;Mar;10;46;
Avesta kommun;Alkohol- och narkotikabrott;2013;Mar;19;88;
Avesta kommun;Vapenbrott;2013;Mar;2;9;
Bengtsfors kommun;Totalt antal brott;2013;Mar;61;637;
Bengtsfors kommun;Våldsbrott ;2013;Mar;4;42;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;5;52;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2013;Mar;1;10;
Bengtsfors kommun;Stöldbrott;2013;Mar;30;314;
Bengtsfors kommun;Bilbrott;2013;Mar;2;21;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;1;10;
Bengtsfors kommun;Vissa trafikbrott;2013;Mar;9;94;
Bengtsfors kommun;Alkohol- och narkotikabrott;2013;Mar;6;63;
Bengtsfors kommun;Vapenbrott;2013;Mar;0;0;
Berg kommun;Totalt antal brott;2013;Mar;48;668;
Berg kommun;Våldsbrott ;2013;Mar;4;56;
Berg kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;6;83;
Berg kommun;Vårdslöshet- och vållandebrott;2013;Mar;2;28;
Berg kommun;Stöldbrott;2013;Mar;13;181;
Berg kommun;Bilbrott;2013;Mar;2;28;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;2;28;
Berg kommun;Vissa trafikbrott;2013;Mar;8;111;
Berg kommun;Alkohol- och narkotikabrott;2013;Mar;10;139;
Berg kommun;Vapenbrott;2013;Mar;0;0;
Bjurholm kommun;Totalt antal brott;2013;Mar;6;247;
Bjurholm kommun;Våldsbrott ;2013;Mar;0;0;
Bjurholm kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;1;41;
Bjurholm kommun;Vårdslöshet- och vållandebrott;2013;Mar;0;0;
Bjurholm kommun;Stöldbrott;2013;Mar;3;124;
Bjurholm kommun;Bilbrott;2013;Mar;1;41;
Bjurholm kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;1;41;
Bjurholm kommun;Vissa trafikbrott;2013;Mar;1;41;
Bjurholm kommun;Alkohol- och narkotikabrott;2013;Mar;0;0;
Bjurholm kommun;Vapenbrott;2013;Mar;0;0;
Bjuv kommun;Totalt antal brott;2013;Mar;117;789;
Bjuv kommun;Våldsbrott ;2013;Mar;15;101;
Bjuv kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;26;175;
Bjuv kommun;Vårdslöshet- och vållandebrott;2013;Mar;1;7;
Bjuv kommun;Stöldbrott;2013;Mar;32;216;
Bjuv kommun;Bilbrott;2013;Mar;6;40;
Bjuv kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;8;54;
Bjuv kommun;Vissa trafikbrott;2013;Mar;9;61;
Bjuv kommun;Alkohol- och narkotikabrott;2013;Mar;10;67;
Bjuv kommun;Vapenbrott;2013;Mar;0;0;
Boden kommun;Totalt antal brott;2013;Mar;169;610;
Boden kommun;Våldsbrott ;2013;Mar;28;101;
Boden kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;28;101;
Boden kommun;Vårdslöshet- och vållandebrott;2013;Mar;1;4;
Boden kommun;Stöldbrott;2013;Mar;51;184;
Boden kommun;Bilbrott;2013;Mar;7;25;
Boden kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;8;29;
Boden kommun;Vissa trafikbrott;2013;Mar;12;43;
Boden kommun;Alkohol- och narkotikabrott;2013;Mar;16;58;
Boden kommun;Vapenbrott;2013;Mar;2;7;
Bollebygd kommun;Totalt antal brott;2013;Mar;65;762;
Bollebygd kommun;Våldsbrott ;2013;Mar;3;35;
Bollebygd kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;6;70;
Bollebygd kommun;Vårdslöshet- och vållandebrott;2013;Mar;1;12;
Bollebygd kommun;Stöldbrott;2013;Mar;22;258;
Bollebygd kommun;Bilbrott;2013;Mar;9;105;
Bollebygd kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;9;105;
Bollebygd kommun;Vissa trafikbrott;2013;Mar;9;105;
Bollebygd kommun;Alkohol- och narkotikabrott;2013;Mar;11;129;
Bollebygd kommun;Vapenbrott;2013;Mar;1;12;
Bollnäs kommun;Totalt antal brott;2013;Mar;134;512;
Bollnäs kommun;Våldsbrott ;2013;Mar;18;69;
Bollnäs kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;19;73;
Bollnäs kommun;Vårdslöshet- och vållandebrott;2013;Mar;1;4;
Bollnäs kommun;Stöldbrott;2013;Mar;47;180;
Bollnäs kommun;Bilbrott;2013;Mar;11;42;
Bollnäs kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;17;65;
Bollnäs kommun;Vissa trafikbrott;2013;Mar;3;11;
Bollnäs kommun;Alkohol- och narkotikabrott;2013;Mar;14;54;
Bollnäs kommun;Vapenbrott;2013;Mar;1;4;
Borgholm kommun;Totalt antal brott;2013;Mar;90;842;
Borgholm kommun;Våldsbrott ;2013;Mar;4;37;
Borgholm kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;10;94;
Borgholm kommun;Vårdslöshet- och vållandebrott;2013;Mar;2;19;
Borgholm kommun;Stöldbrott;2013;Mar;44;411;
Borgholm kommun;Bilbrott;2013;Mar;2;19;
Borgholm kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;17;159;
Borgholm kommun;Vissa trafikbrott;2013;Mar;3;28;
Borgholm kommun;Alkohol- och narkotikabrott;2013;Mar;4;37;
Borgholm kommun;Vapenbrott;2013;Mar;0;0;
Borlänge kommun;Totalt antal brott;2013;Mar;491;987;
Borlänge kommun;Våldsbrott ;2013;Mar;42;84;
Borlänge kommun;Hot-, kränknings- och frihetsbrott;2013;Mar;68;137;
Borlänge kommun;Vårdslöshet- och vållandebrott;2013;Mar;2;4;
Borlänge kommun;Stöldbrott;2013;Mar;183;368;
Borlänge kommun;Bilbrott;2013;Mar;39;78;
Borlänge kommun;Skadegörelsebrott (inkl. mordbrand);2013;Mar;30;60;
Borlänge kommun;Vissa trafikbrott;2013;Mar;24;48;
Borlänge kommun;Alkohol- och narkotikabrott;2013;Mar;54;109;
Borlänge kommun;Vapenbrott;2013;Mar;7;14;
