Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2016 prel.;Jun;199;689;
Ale kommun;Våldsbrott ;2016 prel.;Jun;18;62;
Ale kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jun;26;90;
Ale kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jun;4;14;
Ale kommun;Stöldbrott;2016 prel.;Jun;79;274;
Ale kommun;Bilbrott;2016 prel.;Jun;21;73;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jun;24;83;
Ale kommun;Vissa trafikbrott;2016 prel.;Jun;11;38;
Ale kommun;Alkohol- och narkotikabrott;2016 prel.;Jun;23;80;
Ale kommun;Vapenbrott;2016 prel.;Jun;1;3;
Alingsås kommun;Totalt antal brott;2016 prel.;Jun;378;954;
Alingsås kommun;Våldsbrott ;2016 prel.;Jun;49;124;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jun;49;124;
Alingsås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jun;3;8;
Alingsås kommun;Stöldbrott;2016 prel.;Jun;98;247;
Alingsås kommun;Bilbrott;2016 prel.;Jun;16;40;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jun;16;40;
Alingsås kommun;Vissa trafikbrott;2016 prel.;Jun;33;83;
Alingsås kommun;Alkohol- och narkotikabrott;2016 prel.;Jun;80;202;
Alingsås kommun;Vapenbrott;2016 prel.;Jun;8;20;
Alvesta kommun;Totalt antal brott;2016 prel.;Jun;143;730;
Alvesta kommun;Våldsbrott ;2016 prel.;Jun;14;71;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jun;23;117;
Alvesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jun;3;15;
Alvesta kommun;Stöldbrott;2016 prel.;Jun;56;286;
Alvesta kommun;Bilbrott;2016 prel.;Jun;14;71;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jun;22;112;
Alvesta kommun;Vissa trafikbrott;2016 prel.;Jun;8;41;
Alvesta kommun;Alkohol- och narkotikabrott;2016 prel.;Jun;4;20;
Alvesta kommun;Vapenbrott;2016 prel.;Jun;0;0;
Aneby kommun;Totalt antal brott;2016 prel.;Jun;31;474;
Aneby kommun;Våldsbrott ;2016 prel.;Jun;2;31;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jun;5;76;
Aneby kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jun;0;0;
Aneby kommun;Stöldbrott;2016 prel.;Jun;16;245;
Aneby kommun;Bilbrott;2016 prel.;Jun;0;0;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jun;2;31;
Aneby kommun;Vissa trafikbrott;2016 prel.;Jun;2;31;
Aneby kommun;Alkohol- och narkotikabrott;2016 prel.;Jun;2;31;
Aneby kommun;Vapenbrott;2016 prel.;Jun;0;0;
Arboga kommun;Totalt antal brott;2016 prel.;Jun;93;671;
Arboga kommun;Våldsbrott ;2016 prel.;Jun;8;58;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jun;11;79;
Arboga kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jun;2;14;
Arboga kommun;Stöldbrott;2016 prel.;Jun;38;274;
Arboga kommun;Bilbrott;2016 prel.;Jun;9;65;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jun;7;51;
Arboga kommun;Vissa trafikbrott;2016 prel.;Jun;8;58;
Arboga kommun;Alkohol- och narkotikabrott;2016 prel.;Jun;9;65;
Arboga kommun;Vapenbrott;2016 prel.;Jun;1;7;
Arjeplog kommun;Totalt antal brott;2016 prel.;Jun;23;797;
Arjeplog kommun;Våldsbrott ;2016 prel.;Jun;0;0;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jun;5;173;
