Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2013;Sep;206;737;
Ale kommun;Våldsbrott ;2013;Sep;6;21;
Ale kommun;Hot-, kränknings- och frihetsbrott;2013;Sep;26;93;
Ale kommun;Vårdslöshet- och vållandebrott;2013;Sep;2;7;
Ale kommun;Stöldbrott;2013;Sep;101;361;
Ale kommun;Bilbrott;2013;Sep;31;111;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2013;Sep;32;114;
Ale kommun;Vissa trafikbrott;2013;Sep;10;36;
Ale kommun;Alkohol- och narkotikabrott;2013;Sep;10;36;
Ale kommun;Vapenbrott;2013;Sep;1;4;
Alingsås kommun;Totalt antal brott;2013;Sep;344;894;
Alingsås kommun;Våldsbrott ;2013;Sep;28;73;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2013;Sep;57;148;
Alingsås kommun;Vårdslöshet- och vållandebrott;2013;Sep;3;8;
Alingsås kommun;Stöldbrott;2013;Sep;118;307;
Alingsås kommun;Bilbrott;2013;Sep;27;70;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2013;Sep;26;68;
Alingsås kommun;Vissa trafikbrott;2013;Sep;29;75;
Alingsås kommun;Alkohol- och narkotikabrott;2013;Sep;64;166;
Alingsås kommun;Vapenbrott;2013;Sep;3;8;
Alvesta kommun;Totalt antal brott;2013;Sep;126;658;
Alvesta kommun;Våldsbrott ;2013;Sep;11;57;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2013;Sep;19;99;
Alvesta kommun;Vårdslöshet- och vållandebrott;2013;Sep;0;0;
Alvesta kommun;Stöldbrott;2013;Sep;54;282;
Alvesta kommun;Bilbrott;2013;Sep;11;57;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Sep;12;63;
Alvesta kommun;Vissa trafikbrott;2013;Sep;9;47;
Alvesta kommun;Alkohol- och narkotikabrott;2013;Sep;13;68;
Alvesta kommun;Vapenbrott;2013;Sep;2;10;
Aneby kommun;Totalt antal brott;2013;Sep;32;501;
Aneby kommun;Våldsbrott ;2013;Sep;8;125;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2013;Sep;10;156;
Aneby kommun;Vårdslöshet- och vållandebrott;2013;Sep;0;0;
