Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2015;Aug;193;674;
Ale kommun;Våldsbrott ;2015;Aug;17;59;
Ale kommun;Hot-, kränknings- och frihetsbrott;2015;Aug;23;80;
Ale kommun;Vårdslöshet- och vållandebrott;2015;Aug;1;3;
Ale kommun;Stöldbrott;2015;Aug;96;335;
Ale kommun;Bilbrott;2015;Aug;30;105;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2015;Aug;26;91;
Ale kommun;Vissa trafikbrott;2015;Aug;15;52;
Ale kommun;Alkohol- och narkotikabrott;2015;Aug;11;38;
Ale kommun;Vapenbrott;2015;Aug;1;3;
Alingsås kommun;Totalt antal brott;2015;Aug;330;838;
Alingsås kommun;Våldsbrott ;2015;Aug;39;99;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2015;Aug;35;89;
Alingsås kommun;Vårdslöshet- och vållandebrott;2015;Aug;2;5;
Alingsås kommun;Stöldbrott;2015;Aug;124;315;
Alingsås kommun;Bilbrott;2015;Aug;19;48;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2015;Aug;25;63;
Alingsås kommun;Vissa trafikbrott;2015;Aug;22;56;
Alingsås kommun;Alkohol- och narkotikabrott;2015;Aug;39;99;
Alingsås kommun;Vapenbrott;2015;Aug;10;25;
Alvesta kommun;Totalt antal brott;2015;Aug;156;798;
Alvesta kommun;Våldsbrott ;2015;Aug;18;92;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2015;Aug;25;128;
Alvesta kommun;Vårdslöshet- och vållandebrott;2015;Aug;2;10;
Alvesta kommun;Stöldbrott;2015;Aug;62;317;
Alvesta kommun;Bilbrott;2015;Aug;18;92;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Aug;13;67;
Alvesta kommun;Vissa trafikbrott;2015;Aug;14;72;
Alvesta kommun;Alkohol- och narkotikabrott;2015;Aug;8;41;
Alvesta kommun;Vapenbrott;2015;Aug;2;10;
Aneby kommun;Totalt antal brott;2015;Aug;37;571;
Aneby kommun;Våldsbrott ;2015;Aug;6;93;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2015;Aug;8;123;
Aneby kommun;Vårdslöshet- och vållandebrott;2015;Aug;0;0;
Aneby kommun;Stöldbrott;2015;Aug;8;123;
Aneby kommun;Bilbrott;2015;Aug;1;15;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2015;Aug;1;15;
Aneby kommun;Vissa trafikbrott;2015;Aug;2;31;
Aneby kommun;Alkohol- och narkotikabrott;2015;Aug;2;31;
Aneby kommun;Vapenbrott;2015;Aug;0;0;
Arboga kommun;Totalt antal brott;2015;Aug;183;1331;
Arboga kommun;Våldsbrott ;2015;Aug;16;116;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2015;Aug;32;233;
Arboga kommun;Vårdslöshet- och vållandebrott;2015;Aug;1;7;
Arboga kommun;Stöldbrott;2015;Aug;81;589;
Arboga kommun;Bilbrott;2015;Aug;18;131;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2015;Aug;15;109;
Arboga kommun;Vissa trafikbrott;2015;Aug;9;65;
Arboga kommun;Alkohol- och narkotikabrott;2015;Aug;12;87;
Arboga kommun;Vapenbrott;2015;Aug;1;7;
Arjeplog kommun;Totalt antal brott;2015;Aug;37;1277;
Arjeplog kommun;Våldsbrott ;2015;Aug;2;69;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2015;Aug;1;35;
