Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2016 prel.;Maj;226;783;
Ale kommun;Våldsbrott ;2016 prel.;Maj;24;83;
Ale kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Maj;28;97;
Ale kommun;Vårdslöshet- och vållandebrott;2016 prel.;Maj;2;7;
Ale kommun;Stöldbrott;2016 prel.;Maj;99;343;
Ale kommun;Bilbrott;2016 prel.;Maj;32;111;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Maj;23;80;
Ale kommun;Vissa trafikbrott;2016 prel.;Maj;8;28;
Ale kommun;Alkohol- och narkotikabrott;2016 prel.;Maj;20;69;
Ale kommun;Vapenbrott;2016 prel.;Maj;4;14;
Alingsås kommun;Totalt antal brott;2016 prel.;Maj;425;1073;
Alingsås kommun;Våldsbrott ;2016 prel.;Maj;29;73;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Maj;32;81;
Alingsås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Maj;3;8;
Alingsås kommun;Stöldbrott;2016 prel.;Maj;131;331;
Alingsås kommun;Bilbrott;2016 prel.;Maj;12;30;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Maj;31;78;
Alingsås kommun;Vissa trafikbrott;2016 prel.;Maj;37;93;
Alingsås kommun;Alkohol- och narkotikabrott;2016 prel.;Maj;116;293;
Alingsås kommun;Vapenbrott;2016 prel.;Maj;18;45;
Alvesta kommun;Totalt antal brott;2016 prel.;Maj;99;506;
Alvesta kommun;Våldsbrott ;2016 prel.;Maj;14;71;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Maj;11;56;
Alvesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Maj;1;5;
Alvesta kommun;Stöldbrott;2016 prel.;Maj;35;179;
Alvesta kommun;Bilbrott;2016 prel.;Maj;9;46;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Maj;10;51;
Alvesta kommun;Vissa trafikbrott;2016 prel.;Maj;7;36;
Alvesta kommun;Alkohol- och narkotikabrott;2016 prel.;Maj;10;51;
Alvesta kommun;Vapenbrott;2016 prel.;Maj;0;0;
Aneby kommun;Totalt antal brott;2016 prel.;Maj;39;597;
Aneby kommun;Våldsbrott ;2016 prel.;Maj;9;138;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Maj;9;138;
Aneby kommun;Vårdslöshet- och vållandebrott;2016 prel.;Maj;0;0;
Aneby kommun;Stöldbrott;2016 prel.;Maj;10;153;
Aneby kommun;Bilbrott;2016 prel.;Maj;3;46;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Maj;2;31;
Aneby kommun;Vissa trafikbrott;2016 prel.;Maj;2;31;
Aneby kommun;Alkohol- och narkotikabrott;2016 prel.;Maj;2;31;
Aneby kommun;Vapenbrott;2016 prel.;Maj;0;0;
Arboga kommun;Totalt antal brott;2016 prel.;Maj;82;592;
Arboga kommun;Våldsbrott ;2016 prel.;Maj;8;58;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Maj;16;115;
Arboga kommun;Vårdslöshet- och vållandebrott;2016 prel.;Maj;3;22;
Arboga kommun;Stöldbrott;2016 prel.;Maj;19;137;
Arboga kommun;Bilbrott;2016 prel.;Maj;5;36;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Maj;6;43;
Arboga kommun;Vissa trafikbrott;2016 prel.;Maj;9;65;
Arboga kommun;Alkohol- och narkotikabrott;2016 prel.;Maj;10;72;
Arboga kommun;Vapenbrott;2016 prel.;Maj;0;0;
Arjeplog kommun;Totalt antal brott;2016 prel.;Maj;18;623;
Arjeplog kommun;Våldsbrott ;2016 prel.;Maj;2;69;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Maj;2;69;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2016 prel.;Maj;0;0;
Arjeplog kommun;Stöldbrott;2016 prel.;Maj;6;208;
Arjeplog kommun;Bilbrott;2016 prel.;Maj;2;69;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Maj;0;0;
Arjeplog kommun;Vissa trafikbrott;2016 prel.;Maj;2;69;
Arjeplog kommun;Alkohol- och narkotikabrott;2016 prel.;Maj;1;35;
Arjeplog kommun;Vapenbrott;2016 prel.;Maj;0;0;
Arvidsjaur kommun;Totalt antal brott;2016 prel.;Maj;41;634;
Arvidsjaur kommun;Våldsbrott ;2016 prel.;Maj;7;108;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Maj;4;62;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2016 prel.;Maj;0;0;
Arvidsjaur kommun;Stöldbrott;2016 prel.;Maj;7;108;
Arvidsjaur kommun;Bilbrott;2016 prel.;Maj;3;46;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Maj;7;108;
Arvidsjaur kommun;Vissa trafikbrott;2016 prel.;Maj;5;77;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2016 prel.;Maj;5;77;
Arvidsjaur kommun;Vapenbrott;2016 prel.;Maj;0;0;
Arvika kommun;Totalt antal brott;2016 prel.;Maj;211;817;
Arvika kommun;Våldsbrott ;2016 prel.;Maj;19;74;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Maj;30;116;
Arvika kommun;Vårdslöshet- och vållandebrott;2016 prel.;Maj;1;4;
Arvika kommun;Stöldbrott;2016 prel.;Maj;69;267;
Arvika kommun;Bilbrott;2016 prel.;Maj;17;66;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Maj;18;70;
Arvika kommun;Vissa trafikbrott;2016 prel.;Maj;20;77;
Arvika kommun;Alkohol- och narkotikabrott;2016 prel.;Maj;46;178;
Arvika kommun;Vapenbrott;2016 prel.;Maj;1;4;
Askersund kommun;Totalt antal brott;2016 prel.;Maj;84;753;
Askersund kommun;Våldsbrott ;2016 prel.;Maj;9;81;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Maj;6;54;
Askersund kommun;Vårdslöshet- och vållandebrott;2016 prel.;Maj;0;0;
Askersund kommun;Stöldbrott;2016 prel.;Maj;35;314;
Askersund kommun;Bilbrott;2016 prel.;Maj;7;63;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Maj;7;63;
Askersund kommun;Vissa trafikbrott;2016 prel.;Maj;9;81;
Askersund kommun;Alkohol- och narkotikabrott;2016 prel.;Maj;15;135;
Askersund kommun;Vapenbrott;2016 prel.;Maj;2;18;
Avesta kommun;Totalt antal brott;2016 prel.;Maj;277;1216;
Avesta kommun;Våldsbrott ;2016 prel.;Maj;53;233;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Maj;40;176;
Avesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Maj;2;9;
Avesta kommun;Stöldbrott;2016 prel.;Maj;88;386;
Avesta kommun;Bilbrott;2016 prel.;Maj;19;83;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Maj;29;127;
Avesta kommun;Vissa trafikbrott;2016 prel.;Maj;20;88;
Avesta kommun;Alkohol- och narkotikabrott;2016 prel.;Maj;27;119;
Avesta kommun;Vapenbrott;2016 prel.;Maj;5;22;
Bengtsfors kommun;Totalt antal brott;2016 prel.;Maj;88;914;
Bengtsfors kommun;Våldsbrott ;2016 prel.;Maj;7;73;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Maj;8;83;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2016 prel.;Maj;0;0;
Bengtsfors kommun;Stöldbrott;2016 prel.;Maj;42;436;
Bengtsfors kommun;Bilbrott;2016 prel.;Maj;7;73;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Maj;9;93;
Bengtsfors kommun;Vissa trafikbrott;2016 prel.;Maj;4;42;
Bengtsfors kommun;Alkohol- och narkotikabrott;2016 prel.;Maj;6;62;
