Region;Brott;År;Period;Antal;/100 000 inv
Askersund kommun;Bilbrott;2016 prel.;Jan;1;9;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;6;54;
Askersund kommun;Vissa trafikbrott;2016 prel.;Jan;12;108;
Askersund kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;31;278;
Askersund kommun;Vapenbrott;2016 prel.;Jan;2;18;
Avesta kommun;Totalt antal brott;2016 prel.;Jan;176;773;
Avesta kommun;Våldsbrott ;2016 prel.;Jan;24;105;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;30;132;
Avesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;1;4;
Avesta kommun;Stöldbrott;2016 prel.;Jan;48;211;
Avesta kommun;Bilbrott;2016 prel.;Jan;6;26;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;16;70;
Avesta kommun;Vissa trafikbrott;2016 prel.;Jan;26;114;
Avesta kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;24;105;
Avesta kommun;Vapenbrott;2016 prel.;Jan;1;4;
Bengtsfors kommun;Totalt antal brott;2016 prel.;Jan;78;810;
Bengtsfors kommun;Våldsbrott ;2016 prel.;Jan;7;73;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;15;156;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;1;10;
Bengtsfors kommun;Stöldbrott;2016 prel.;Jan;26;270;
Bengtsfors kommun;Bilbrott;2016 prel.;Jan;7;73;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;14;145;
Bengtsfors kommun;Vissa trafikbrott;2016 prel.;Jan;7;73;
Bengtsfors kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;2;21;
Bengtsfors kommun;Vapenbrott;2016 prel.;Jan;1;10;
Berg kommun;Totalt antal brott;2016 prel.;Jan;27;384;
Berg kommun;Våldsbrott ;2016 prel.;Jan;5;71;
Berg kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;11;156;
Berg kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;1;14;
Berg kommun;Stöldbrott;2016 prel.;Jan;2;28;
Berg kommun;Bilbrott;2016 prel.;Jan;0;0;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;2;28;
Berg kommun;Vissa trafikbrott;2016 prel.;Jan;4;57;
Berg kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;2;28;
Berg kommun;Vapenbrott;2016 prel.;Jan;0;0;
Bjurholm kommun;Totalt antal brott;2016 prel.;Jan;14;571;
Bjurholm kommun;Våldsbrott ;2016 prel.;Jan;5;204;
