Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2015;Okt;183;639;
Ale kommun;Våldsbrott ;2015;Okt;20;70;
Ale kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;29;101;
Ale kommun;Vårdslöshet- och vållandebrott;2015;Okt;3;10;
Ale kommun;Stöldbrott;2015;Okt;85;297;
Ale kommun;Bilbrott;2015;Okt;20;70;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;23;80;
Ale kommun;Vissa trafikbrott;2015;Okt;9;31;
Ale kommun;Alkohol- och narkotikabrott;2015;Okt;8;28;
Ale kommun;Vapenbrott;2015;Okt;2;7;
Alingsås kommun;Totalt antal brott;2015;Okt;443;1125;
Alingsås kommun;Våldsbrott ;2015;Okt;51;129;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;50;127;
Alingsås kommun;Vårdslöshet- och vållandebrott;2015;Okt;2;5;
Alingsås kommun;Stöldbrott;2015;Okt;156;396;
Alingsås kommun;Bilbrott;2015;Okt;33;84;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;34;86;
Alingsås kommun;Vissa trafikbrott;2015;Okt;42;107;
Alingsås kommun;Alkohol- och narkotikabrott;2015;Okt;77;195;
Alingsås kommun;Vapenbrott;2015;Okt;8;20;
Alvesta kommun;Totalt antal brott;2015;Okt;121;619;
Alvesta kommun;Våldsbrott ;2015;Okt;15;77;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;12;61;
Alvesta kommun;Vårdslöshet- och vållandebrott;2015;Okt;2;10;
Alvesta kommun;Stöldbrott;2015;Okt;50;256;
Alvesta kommun;Bilbrott;2015;Okt;15;77;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;14;72;
Alvesta kommun;Vissa trafikbrott;2015;Okt;3;15;
Alvesta kommun;Alkohol- och narkotikabrott;2015;Okt;7;36;
Alvesta kommun;Vapenbrott;2015;Okt;1;5;
Aneby kommun;Totalt antal brott;2015;Okt;42;648;
Aneby kommun;Våldsbrott ;2015;Okt;4;62;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;9;139;
Aneby kommun;Vårdslöshet- och vållandebrott;2015;Okt;0;0;
Aneby kommun;Stöldbrott;2015;Okt;14;216;
Aneby kommun;Bilbrott;2015;Okt;2;31;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;4;62;
Aneby kommun;Vissa trafikbrott;2015;Okt;4;62;
Aneby kommun;Alkohol- och narkotikabrott;2015;Okt;1;15;
Aneby kommun;Vapenbrott;2015;Okt;0;0;
Arboga kommun;Totalt antal brott;2015;Okt;95;691;
Arboga kommun;Våldsbrott ;2015;Okt;10;73;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;17;124;
Arboga kommun;Vårdslöshet- och vållandebrott;2015;Okt;1;7;
Arboga kommun;Stöldbrott;2015;Okt;33;240;
Arboga kommun;Bilbrott;2015;Okt;3;22;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;7;51;
Arboga kommun;Vissa trafikbrott;2015;Okt;8;58;
Arboga kommun;Alkohol- och narkotikabrott;2015;Okt;9;65;
Arboga kommun;Vapenbrott;2015;Okt;2;15;
Arjeplog kommun;Totalt antal brott;2015;Okt;23;794;
Arjeplog kommun;Våldsbrott ;2015;Okt;1;35;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;2;69;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2015;Okt;0;0;
Arjeplog kommun;Stöldbrott;2015;Okt;10;345;
Arjeplog kommun;Bilbrott;2015;Okt;4;138;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;3;104;
Arjeplog kommun;Vissa trafikbrott;2015;Okt;0;0;
Arjeplog kommun;Alkohol- och narkotikabrott;2015;Okt;0;0;
Arjeplog kommun;Vapenbrott;2015;Okt;1;35;
Arvidsjaur kommun;Totalt antal brott;2015;Okt;30;463;
Arvidsjaur kommun;Våldsbrott ;2015;Okt;0;0;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;2;31;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2015;Okt;0;0;
Arvidsjaur kommun;Stöldbrott;2015;Okt;15;232;
Arvidsjaur kommun;Bilbrott;2015;Okt;7;108;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;2;31;
Arvidsjaur kommun;Vissa trafikbrott;2015;Okt;3;46;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2015;Okt;1;15;
Arvidsjaur kommun;Vapenbrott;2015;Okt;0;0;
Arvika kommun;Totalt antal brott;2015;Okt;255;988;
Arvika kommun;Våldsbrott ;2015;Okt;25;97;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;25;97;
Arvika kommun;Vårdslöshet- och vållandebrott;2015;Okt;1;4;
Arvika kommun;Stöldbrott;2015;Okt;71;275;
Arvika kommun;Bilbrott;2015;Okt;20;78;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;25;97;
Arvika kommun;Vissa trafikbrott;2015;Okt;33;128;
Arvika kommun;Alkohol- och narkotikabrott;2015;Okt;72;279;
Arvika kommun;Vapenbrott;2015;Okt;6;23;
Askersund kommun;Totalt antal brott;2015;Okt;107;961;
Askersund kommun;Våldsbrott ;2015;Okt;3;27;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;10;90;
Askersund kommun;Vårdslöshet- och vållandebrott;2015;Okt;0;0;
Askersund kommun;Stöldbrott;2015;Okt;25;225;
Askersund kommun;Bilbrott;2015;Okt;11;99;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;38;341;
Askersund kommun;Vissa trafikbrott;2015;Okt;13;117;
Askersund kommun;Alkohol- och narkotikabrott;2015;Okt;13;117;
Askersund kommun;Vapenbrott;2015;Okt;1;9;
Avesta kommun;Totalt antal brott;2015;Okt;177;790;
Avesta kommun;Våldsbrott ;2015;Okt;8;36;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;33;147;
Avesta kommun;Vårdslöshet- och vållandebrott;2015;Okt;0;0;
Avesta kommun;Stöldbrott;2015;Okt;67;299;
Avesta kommun;Bilbrott;2015;Okt;14;62;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;18;80;
Avesta kommun;Vissa trafikbrott;2015;Okt;18;80;
Avesta kommun;Alkohol- och narkotikabrott;2015;Okt;15;67;
Avesta kommun;Vapenbrott;2015;Okt;2;9;
Bengtsfors kommun;Totalt antal brott;2015;Okt;60;626;
Bengtsfors kommun;Våldsbrott ;2015;Okt;5;52;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;17;177;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2015;Okt;1;10;
Bengtsfors kommun;Stöldbrott;2015;Okt;22;229;
Bengtsfors kommun;Bilbrott;2015;Okt;7;73;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;6;63;
Bengtsfors kommun;Vissa trafikbrott;2015;Okt;3;31;
Bengtsfors kommun;Alkohol- och narkotikabrott;2015;Okt;1;10;
Bengtsfors kommun;Vapenbrott;2015;Okt;0;0;
Berg kommun;Totalt antal brott;2015;Okt;44;624;
Berg kommun;Våldsbrott ;2015;Okt;8;113;
Berg kommun;Hot-, kränknings- och frihetsbrott;2015;Okt;10;142;
Berg kommun;Vårdslöshet- och vållandebrott;2015;Okt;1;14;
Berg kommun;Stöldbrott;2015;Okt;14;199;
Berg kommun;Bilbrott;2015;Okt;3;43;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2015;Okt;0;0;
Berg kommun;Vissa trafikbrott;2015;Okt;1;14;
Berg kommun;Alkohol- och narkotikabrott;2015;Okt;0;0;
Berg kommun;Vapenbrott;2015;Okt;0;0;
